Bin I L V PA
0 -4.307e-05 2.186e-03 -1.023e-02 0.000e+00
1 7.422e-03 1.969e-03 -2.269e-03 0.000e+00
2 -5.441e-03 3.529e-03 1.064e-03 0.000e+00
3 -1.152e-02 8.977e-03 -4.344e-03 0.000e+00
4 6.115e-04 -8.975e-03 1.425e-03 0.000e+00
5 -4.824e-03 1.072e-02 -9.206e-03 9.864e+01
6 -5.396e-03 3.628e-03 4.855e-03 0.000e+00
7 -3.864e-03 -5.939e-03 -5.012e-04 0.000e+00
8 3.532e-04 -1.190e-03 2.442e-03 0.000e+00
9 -2.303e-03 -2.677e-03 -3.252e-03 0.000e+00
10 -1.061e-04 -1.410e-03 -1.616e-03 0.000e+00
11 -6.663e-03 -7.982e-03 -2.015e-03 0.000e+00
12 -1.743e-03 1.015e-02 7.550e-03 3.542e+01
13 -9.862e-03 1.529e-03 5.236e-03 0.000e+00
14 6.931e-04 -8.386e-03 1.213e-02 0.000e+00
15 -4.423e-03 -8.238e-03 -6.604e-03 0.000e+00
16 -9.074e-05 5.237e-03 -5.365e-04 0.000e+00
17 1.080e-03 3.314e-03 -1.308e-02 0.000e+00
18 -1.847e-03 1.386e-03 8.487e-04 0.000e+00
19 -6.756e-05 -2.936e-03 2.272e-03 0.000e+00
20 7.689e-06 -9.275e-03 2.066e-03 0.000e+00
21 2.637e-03 4.879e-03 -4.718e-03 0.000e+00
22 -4.579e-03 8.930e-04 4.965e-04 0.000e+00
23 -1.299e-03 -1.081e-03 1.045e-04 0.000e+00
24 -5.857e-03 3.837e-03 -5.226e-03 0.000e+00
25 1.227e-03 -6.693e-03 -6.383e-03 0.000e+00
26 3.241e-03 3.314e-03 1.247e-04 0.000e+00
27 2.377e-04 -3.269e-04 -7.069e-04 0.000e+00
28 -3.297e-03 -1.449e-03 -4.425e-03 0.000e+00
29 1.129e-03 1.514e-03 1.593e-02 0.000e+00
30 7.199e-03 2.636e-03 4.259e-03 0.000e+00
31 3.568e-03 -8.333e-03 -7.508e-03 0.000e+00
32 -4.982e-03 -6.168e-03 3.265e-03 0.000e+00
33 2.565e-03 4.872e-03 4.935e-03 0.000e+00
34 8.175e-04 -8.892e-03 -7.050e-03 0.000e+00
35 -1.557e-04 2.827e-04 2.531e-03 0.000e+00
36 5.830e-03 -6.315e-03 3.501e-05 0.000e+00
37 1.242e-02 9.597e-03 -6.859e-03 1.072e+02
38 2.430e-03 -5.701e-03 -6.270e-03 0.000e+00
39 3.581e-05 1.491e-03 -4.211e-04 0.000e+00
40 1.096e-03 5.910e-03 -5.862e-03 0.000e+00
41 1.109e-02 -9.022e-03 -6.888e-04 0.000e+00
42 3.004e-03 -5.431e-03 4.772e-03 0.000e+00
43 -8.985e-04 6.102e-03 2.933e-03 0.000e+00
44 -1.509e-03 1.009e-02 -7.845e-03 1.000e+02
45 -4.827e-03 -1.099e-03 2.904e-03 0.000e+00
46 2.195e-03 2.462e-03 -3.381e-03 0.000e+00
47 -5.306e-03 6.221e-03 -3.527e-03 0.000e+00
48 -1.058e-02 -8.149e-04 1.179e-02 0.000e+00
49 8.827e-03 -4.453e-03 7.882e-03 0.000e+00
50 -5.531e-03 7.324e-03 1.080e-02 0.000e+00
51 -9.353e-03 -5.896e-03 3.508e-03 0.000e+00
52 -1.918e-03 1.490e-03 -6.917e-03 0.000e+00
53 -2.622e-03 1.755e-02 6.593e-03 2.384e+01
54 -1.348e-02 5.519e-03 1.223e-03 0.000e+00
55 -7.748e-03 -5.508e-03 4.755e-03 0.000e+00
56 3.215e-03 -8.740e-03 6.613e-04 0.000e+00
57 -1.953e-03 2.641e-03 -1.258e-02 0.000e+00
58 -8.472e-03 -5.600e-03 -7.342e-03 0.000e+00
59 6.199e-03 1.347e-02 1.262e-02 1.110e+02
60 -1.551e-02 -8.581e-03 -2.114e-03 0.000e+00
61 1.006e-02 1.250e-03 3.025e-03 0.000e+00
62 -1.383e-03 -1.864e-03 1.113e-02 0.000e+00
63 7.022e-03 -7.407e-03 -1.397e-02 0.000e+00
64 1.207e-03 -1.719e-03 2.562e-03 0.000e+00
65 8.077e-03 -9.254e-03 5.447e-04 0.000e+00
66 -2.892e-03 -7.740e-03 5.041e-04 0.000e+00
67 8.833e-03 -6.292e-03 -1.859e-03 0.000e+00
68 7.517e-04 7.069e-03 2.281e-03 0.000e+00
69 -4.686e-03 -8.553e-03 -8.562e-06 0.000e+00
70 -5.597e-03 -1.629e-03 4.727e-04 0.000e+00
71 4.849e-03 7.146e-03 -5.238e-03 0.000e+00
72 1.271e-03 -9.157e-03 2.610e-03 0.000e+00
73 3.045e-05 4.374e-03 5.567e-03 0.000e+00
74 2.502e-03 -8.603e-03 -3.114e-04 0.000e+00
75 5.710e-03 5.217e-03 4.952e-04 0.000e+00
76 -1.420e-03 -4.959e-04 9.014e-04 0.000e+00
77 6.896e-03 -8.126e-03 1.553e-03 0.000e+00
78 -1.498e-02 2.843e-03 3.779e-03 0.000e+00
79 5.151e-04 -7.114e-03 -8.384e-05 0.000e+00
80 -5.322e-03 -3.143e-03 1.590e-03 0.000e+00
81 1.390e-03 1.042e-02 1.189e-02 1.237e+02
82 1.107e-03 -9.145e-03 8.457e-03 0.000e+00
83 -8.264e-04 -5.283e-03 -2.344e-04 0.000e+00
84 -1.534e-03 6.699e-03 -5.876e-03 0.000e+00
85 2.412e-03 -8.741e-03 -7.029e-04 0.000e+00
86 4.405e-03 -9.686e-03 -4.927e-03 0.000e+00
87 5.536e-03 2.900e-03 -3.814e-03 0.000e+00
88 -1.326e-02 -1.307e-03 -5.565e-03 0.000e+00
89 4.768e-03 4.174e-03 1.389e-03 0.000e+00
90 -2.858e-03 4.262e-03 -4.450e-03 0.000e+00
91 1.028e-04 2.074e-03 3.013e-03 0.000e+00
92 -1.177e-03 -8.211e-03 9.245e-03 0.000e+00
93 1.919e-03 2.200e-03 4.856e-04 0.000e+00
94 -8.664e-03 -6.203e-03 -2.274e-03 0.000e+00
95 1.982e-03 -8.934e-03 9.654e-03 0.000e+00
96 -7.295e-04 -7.478e-03 -1.679e-04 0.000e+00
97 5.258e-03 5.656e-03 -5.853e-03 0.000e+00
98 6.216e-03 4.943e-03 7.716e-03 0.000e+00
99 1.331e-02 1.268e-02 8.057e-03 7.958e+01
100 5.775e-03 -8.378e-03 5.875e-03 0.000e+00
101 6.649e-03 -9.501e-03 -4.930e-03 0.000e+00
102 -5.028e-03 -9.023e-03 -1.188e-03 0.000e+00
103 1.104e-02 -6.069e-03 -6.168e-03 0.000e+00
104 4.798e-03 6.726e-03 -6.522e-03 0.000e+00
105 -3.463e-03 -8.137e-03 -8.211e-03 0.000e+00
106 -3.231e-03 4.772e-03 -4.975e-03 0.000e+00
107 8.240e-03 -8.392e-03 -2.501e-03 0.000e+00
108 -1.070e-02 -1.952e-03 4.131e-03 0.000e+00
109 5.256e-03 -6.165e-03 -3.874e-04 0.000e+00
110 -1.122e-04 3.552e-04 1.250e-02 0.000e+00
111 3.015e-03 7.890e-03 2.239e-03 0.000e+00
112 1.290e-02 -5.161e-03 -3.540e-04 0.000e+00
113 1.102e-02 -8.528e-03 -5.729e-03 0.000e+00
114 8.447e-03 2.558e-03 8.918e-03 0.000e+00
115 -7.352e-03 5.921e-03 6.878e-03 0.000e+00
116 1.124e-03 -8.284e-03 -3.185e-04 0.000e+00
117 -7.618e-04 8.110e-03 -6.631e-03 0.000e+00
118 8.048e-03 -8.740e-03 -5.681e-03 0.000e+00
119 7.428e-03 -6.930e-03 -9.960e-03 0.000e+00
120 8.095e-03 -6.603e-03 1.625e-03 0.000e+00
121 -7.476e-04 -8.432e-03 5.328e-04 0.000e+00
122 -2.458e-03 7.610e-03 6.503e-03 0.000e+00
123 -5.043e-03 8.972e-03 1.183e-04 0.000e+00
124 2.834e-03 -1.192e-04 -9.045e-04 0.000e+00
125 1.166e-03 7.098e-03 4.069e-03 0.000e+00
126 9.275e-03 -7.824e-03 -5.142e-03 0.000e+00
127 2.580e-03 9.803e-03 1.030e-03 1.144e+02
128 -2.407e-03 2.908e-03 3.851e-03 0.000e+00
129 -4.389e-03 -9.345e-03 7.240e-03 0.000e+00
130 5.657e-03 1.135e-03 -2.921e-03 0.000e+00
131 -6.664e-03 7.134e-03 -1.450e-02 0.000e+00
132 -5.524e-03 -3.661e-04 2.626e-03 0.000e+00
133 1.402e-03 4.306e-03 5.412e-03 0.000e+00
134 4.008e-03 -7.439e-03 6.210e-03 0.000e+00
135 2.428e-03 -7.377e-04 6.434e-03 0.000e+00
136 -1.548e-03 -1.190e-03 2.502e-03 0.000e+00
137 5.826e-04 -7.352e-03 -1.867e-03 0.000e+00
138 8.296e-03 -8.510e-03 5.613e-03 0.000e+00
139 -5.190e-03 -9.524e-03 3.034e-03 0.000e+00
140 3.177e-03 -9.335e-03 -2.430e-03 0.000e+00
141 5.418e-03 9.499e-03 2.580e-03 1.246e+02
142 1.513e-03 -2.428e-03 -1.956e-04 0.000e+00
143 1.932e-03 -8.438e-03 -1.478e-02 0.000e+00
144 9.914e-03 4.272e-03 4.347e-03 0.000e+00
145 -7.200e-03 4.966e-04 1.266e-03 0.000e+00
146 -2.995e-03 -6.842e-03 -3.229e-03 0.000e+00
147 -6.564e-03 1.501e-02 1.280e-02 7.452e+01
148 5.386e-04 -7.426e-03 7.135e-03 0.000e+00
149 3.434e-03 3.587e-03 2.423e-03 0.000e+00
150 1.019e-02 -9.422e-03 -8.144e-03 0.000e+00
151 -2.185e-04 -7.793e-03 -7.367e-05 0.000e+00
152 -3.631e-03 8.201e-03 6.148e-03 0.000e+00
153 7.704e-03 -7.321e-04 -2.028e-03 0.000e+00
154 -2.873e-04 -5.385e-03 -3.752e-03 0.000e+00
155 9.196e-04 4.626e-03 -1.134e-02 0.000e+00
156 4.006e-03 -7.294e-03 5.355e-03 0.000e+00
157 -4.880e-03 7.323e-03 5.362e-04 0.000e+00
158 6.072e-03 9.439e-03 -4.991e-03 8.428e+00
159 1.095e-02 -9.347e-03 -1.084e-03 0.000e+00
160 -9.681e-04 -8.349e-03 -5.255e-03 0.000e+00
161 8.810e-03 2.215e-03 -1.209e-03 0.000e+00
162 5.088e-03 -8.059e-03 -4.595e-03 0.000e+00
163 8.087e-03 -1.760e-03 5.095e-03 0.000e+00
164 1.086e-02 8.645e-03 -7.432e-03 0.000e+00
165 7.521e-03 -9.513e-03 -4.770e-03 0.000e+00
166 8.673e-03 5.423e-03 -6.532e-03 0.000e+00
167 2.273e-02 -1.811e-03 -1.153e-02 0.000e+00
168 1.659e-02 7.514e-03 -2.991e-03 0.000e+00
169 3.143e-02 8.276e-03 -5.997e-03 0.000e+00
170 3.949e-02 4.798e-03 1.258e-03 0.000e+00
171 4.647e-02 1.550e-03 -8.111e-03 0.000e+00
172 5.531e-02 -1.096e-03 -7.385e-03 0.000e+00
173 9.134e-02 9.303e-04 6.065e-03 0.000e+00
174 1.204e-01 5.397e-03 7.068e-04 0.000e+00
175 1.679e-01 1.022e-02 -1.603e-02 5.579e+01
176 2.148e-01 1.755e-02 -4.271e-03 7.163e+01
177 2.893e-01 1.522e-02 -2.276e-02 9.011e+01
178 3.663e-01 2.115e-02 -1.435e-02 7.411e+01
179 4.560e-01 1.729e-02 -1.801e-02 6.176e+01
180 5.389e-01 9.036e-03 -1.615e-02 0.000e+00
181 6.107e-01 1.449e-02 -2.698e-02 9.325e+01
182 7.103e-01 6.823e-03 -3.858e-02 0.000e+00
183 8.178e-01 1.564e-02 -3.895e-02 1.134e+02
184 9.032e-01 2.266e-02 -5.091e-02 -4.411e+01
185 9.956e-01 -9.562e-04 -2.623e-02 0.000e+00
186 9.898e-01 3.770e-02 -2.782e-02 1.336e+02
187 1.000e+00 4.312e-02 -5.265e-02 1.335e+02
188 9.951e-01 3.513e-02 -5.395e-02 1.256e+02
189 9.867e-01 3.639e-02 -7.052e-02 1.175e+02
190 9.870e-01 2.138e-02 -8.489e-02 1.244e+02
191 9.760e-01 3.104e-02 -7.589e-02 1.074e+02
192 9.700e-01 3.612e-02 -7.083e-02 9.550e+01
193 9.587e-01 2.108e-02 -5.947e-02 6.711e+01
194 9.166e-01 3.522e-02 -4.555e-02 8.942e+01
195 8.701e-01 6.304e-02 -4.000e-02 8.824e+01
196 8.053e-01 4.700e-02 -2.823e-02 8.877e+01
197 7.226e-01 1.645e-02 -5.040e-03 7.570e+00
198 5.701e-01 6.887e-02 1.573e-02 -5.654e+00
199 3.957e-01 6.071e-02 1.974e-02 -4.945e+00
200 2.634e-01 3.620e-02 1.238e-02 -8.188e+00
201 1.665e-01 3.534e-02 9.922e-03 -7.206e+00
202 1.172e-01 2.616e-02 -4.882e-03 9.125e-01
203 8.608e-02 1.322e-02 1.206e-02 -1.070e+01
204 4.316e-02 -8.874e-03 5.920e-03 0.000e+00
205 3.858e-02 6.008e-03 2.493e-03 0.000e+00
206 2.900e-02 -8.565e-03 2.306e-03 0.000e+00
207 1.373e-02 5.873e-03 1.917e-04 0.000e+00
208 1.378e-02 -6.236e-03 -5.792e-03 0.000e+00
209 1.174e-02 -6.392e-03 1.341e-03 0.000e+00
210 3.596e-03 -8.847e-03 -9.471e-03 0.000e+00
211 9.571e-04 -9.208e-03 5.681e-03 0.000e+00
212 3.723e-03 4.188e-03 2.262e-03 0.000e+00
213 2.997e-03 -6.848e-03 -1.103e-03 0.000e+00
214 1.030e-02 6.487e-03 -1.366e-03 0.000e+00
215 -2.519e-04 1.026e-02 1.468e-03 -8.019e+00
216 -5.216e-03 4.158e-04 2.952e-03 0.000e+00
217 2.477e-03 1.562e-03 -1.040e-02 0.000e+00
218 -7.106e-03 1.027e-04 1.403e-03 0.000e+00
219 4.108e-03 7.018e-03 2.588e-03 0.000e+00
220 4.053e-04 -7.694e-03 -1.531e-05 0.000e+00
221 -8.572e-03 -7.097e-03 -7.041e-04 0.000e+00
222 -2.725e-03 -6.092e-03 1.856e-03 0.000e+00
223 -6.843e-03 -8.069e-03 -9.457e-04 0.000e+00
224 3.395e-03 -8.524e-04 -2.949e-03 0.000e+00
225 4.421e-03 3.222e-03 8.169e-04 0.000e+00
226 -1.156e-02 -7.873e-03 1.283e-03 0.000e+00
227 -5.762e-03 4.430e-03 1.080e-03 0.000e+00
228 -1.387e-02 -8.314e-03 1.687e-03 0.000e+00
229 1.158e-02 7.501e-03 -2.954e-03 0.000e+00
230 4.448e-03 5.624e-03 -1.414e-02 0.000e+00
231 -2.035e-03 -2.085e-03 2.290e-03 0.000e+00
232 1.849e-03 -8.211e-03 4.895e-03 0.000e+00
233 8.760e-03 2.496e-04 -1.910e-04 0.000e+00
234 -3.314e-03 -2.189e-03 -2.629e-03 0.000e+00
235 -6.218e-03 4.206e-03 -1.407e-02 0.000e+00
236 -7.682e-03 -7.417e-03 -5.213e-03 0.000e+00
237 3.913e-03 -9.603e-03 -7.980e-03 0.000e+00
238 3.656e-03 -8.784e-03 -7.801e-03 0.000e+00
239 -2.356e-03 -8.873e-03 8.732e-03 0.000e+00
240 -9.390e-03 -8.265e-03 -1.416e-02 0.000e+00
241 -6.598e-03 5.899e-03 -1.856e-03 0.000e+00
242 4.476e-03 -9.365e-03 -9.480e-03 0.000e+00
243 -4.937e-03 -8.194e-03 -1.040e-03 0.000e+00
244 -7.263e-03 9.752e-04 1.297e-02 0.000e+00
245 -6.261e-03 1.198e-02 -8.131e-03 3.923e+00
246 7.955e-03 1.131e-02 3.529e-03 1.338e+02
247 -4.416e-03 5.119e-03 -5.264e-03 0.000e+00
248 -1.065e-03 -1.651e-03 2.312e-03 0.000e+00
249 9.697e-03 -8.223e-03 8.910e-05 0.000e+00
250 1.040e-03 9.100e-03 -5.618e-03 0.000e+00
251 2.826e-04 2.758e-03 -4.879e-03 0.000e+00
252 -9.239e-03 -8.539e-04 3.602e-03 0.000e+00
253 -2.585e-03 1.819e-02 -4.880e-03 1.124e+02
254 5.800e-03 3.270e-03 -1.481e-03 0.000e+00
255 2.623e-03 1.514e-03 -1.185e-03 0.000e+00
256 -1.011e-02 1.165e-03 1.258e-03 0.000e+00
257 -4.150e-03 1.989e-03 -1.712e-02 0.000e+00
258 -1.613e-02 -8.449e-03 4.577e-03 0.000e+00
259 -1.141e-02 3.153e-03 1.671e-03 0.000e+00
260 -4.717e-03 1.093e-03 -7.910e-04 0.000e+00
261 -2.313e-03 -7.812e-03 4.995e-03 0.000e+00
262 -1.569e-03 1.176e-02 -5.084e-03 -3.885e+01
263 -7.493e-03 -9.480e-03 1.223e-02 0.000e+00
264 5.306e-04 4.768e-03 5.905e-03 0.000e+00
265 -1.508e-03 -7.715e-03 1.689e-03 0.000e+00
266 -1.461e-02 -8.733e-03 -2.283e-03 0.000e+00
267 3.935e-03 4.248e-03 -4.614e-03 0.000e+00
268 1.859e-03 2.518e-03 7.299e-03 0.000e+00
269 -7.230e-03 1.539e-04 -5.032e-03 0.000e+00
270 -4.370e-03 1.333e-03 2.546e-03 0.000e+00
271 -1.269e-02 7.060e-03 -5.521e-03 0.000e+00
272 -3.945e-03 -9.133e-03 -2.939e-03 0.000e+00
273 3.884e-03 2.881e-03 3.544e-04 0.000e+00
274 -1.460e-03 1.186e-02 -2.096e-04 2.973e+01
275 2.831e-03 3.027e-03 -1.274e-03 0.000e+00
276 7.754e-04 1.667e-03 2.281e-03 0.000e+00
277 2.814e-03 -7.068e-03 -7.673e-04 0.000e+00
278 1.361e-02 2.538e-03 -2.241e-03 0.000e+00
279 -8.355e-03 6.024e-06 5.624e-03 0.000e+00
280 4.219e-04 3.417e-05 1.127e-02 0.000e+00
281 1.048e-03 -9.664e-03 3.056e-03 0.000e+00
282 3.600e-03 -8.461e-03 -1.660e-03 0.000e+00
283 -1.451e-03 -5.297e-03 4.188e-03 0.000e+00
284 8.370e-03 -7.730e-03 -8.266e-04 0.000e+00
285 2.476e-03 5.046e-03 2.059e-03 0.000e+00
286 6.861e-03 -9.589e-03 2.975e-03 0.000e+00
287 -1.849e-02 -9.052e-03 -8.028e-03 0.000e+00
288 -8.783e-03 -8.427e-03 7.224e-04 0.000e+00
289 -1.292e-03 -9.525e-03 -1.978e-03 0.000e+00
290 2.005e-04 1.339e-04 -2.485e-03 0.000e+00
291 -9.448e-04 -9.138e-03 -1.437e-02 0.000e+00
292 -3.103e-04 -8.465e-03 2.479e-03 0.000e+00
293 -5.549e-03 4.445e-04 1.136e-02 0.000e+00
294 5.377e-03 -9.155e-03 7.165e-03 0.000e+00
295 -1.631e-03 9.313e-03 2.764e-03 4.802e+01
296 -5.318e-03 4.230e-03 1.513e-03 0.000e+00
297 1.308e-02 -9.459e-03 -5.587e-03 0.000e+00
298 -2.044e-03 -4.247e-03 8.977e-04 0.000e+00
