Bin I L V PA
0 1.615e-03 6.158e-03 -4.730e-03 0.000e+00
1 3.432e-02 -4.333e-02 2.726e-02 0.000e+00
2 -4.558e-03 1.817e-02 -4.259e-02 0.000e+00
3 -7.154e-02 -4.733e-02 3.161e-02 0.000e+00
4 7.530e-03 -4.526e-02 -3.565e-02 0.000e+00
5 -2.396e-02 -3.950e-02 2.096e-02 0.000e+00
6 2.287e-02 4.134e-02 2.023e-03 0.000e+00
7 2.277e-02 1.624e-02 1.510e-02 0.000e+00
8 1.676e-03 4.574e-02 -9.023e-03 0.000e+00
9 3.148e-02 -4.507e-02 -1.503e-02 0.000e+00
10 -3.867e-02 8.878e-03 2.891e-02 0.000e+00
11 -1.687e-02 1.756e-02 1.079e-02 0.000e+00
12 -4.385e-03 -4.381e-02 -2.150e-02 0.000e+00
13 -2.340e-02 -4.277e-02 -1.006e-02 0.000e+00
14 1.060e-02 1.080e-03 1.362e-02 0.000e+00
15 -2.015e-02 4.945e-02 3.517e-03 0.000e+00
16 1.743e-02 6.009e-03 4.822e-02 0.000e+00
17 3.039e-02 -4.709e-02 -1.928e-02 0.000e+00
18 -1.457e-02 -4.146e-02 -1.509e-02 0.000e+00
19 2.477e-02 -3.513e-02 -2.854e-02 0.000e+00
20 -1.544e-02 4.600e-02 -2.786e-02 0.000e+00
21 9.389e-03 -3.299e-02 -1.834e-02 0.000e+00
22 8.448e-03 -4.727e-02 -1.844e-02 0.000e+00
23 4.783e-03 -4.048e-02 1.609e-02 0.000e+00
24 -1.457e-02 1.510e-03 4.358e-02 0.000e+00
25 -1.337e-02 -3.985e-02 8.658e-04 0.000e+00
26 3.458e-02 -2.218e-02 6.078e-02 0.000e+00
27 -2.902e-02 2.145e-02 -3.537e-02 0.000e+00
28 -5.492e-02 2.162e-02 -5.411e-02 0.000e+00
29 3.048e-02 3.686e-02 1.953e-02 0.000e+00
30 1.123e-02 3.591e-02 4.419e-03 0.000e+00
31 -3.537e-02 -2.679e-02 -3.043e-03 0.000e+00
32 -4.891e-02 2.129e-02 2.141e-02 0.000e+00
33 4.851e-02 -6.045e-03 2.638e-02 0.000e+00
34 -1.414e-02 3.925e-03 -2.703e-02 0.000e+00
35 -1.990e-02 2.004e-02 1.923e-02 0.000e+00
36 7.240e-03 -4.891e-02 -9.396e-03 0.000e+00
37 2.555e-02 -3.271e-03 7.920e-03 0.000e+00
38 -2.452e-02 1.409e-02 4.407e-05 0.000e+00
39 1.919e-02 1.034e-02 -8.642e-05 0.000e+00
40 4.512e-02 -2.276e-02 1.585e-02 0.000e+00
41 -1.858e-02 1.591e-02 6.298e-02 0.000e+00
42 1.387e-02 3.979e-02 -3.435e-02 0.000e+00
43 -2.494e-02 2.887e-02 -4.530e-03 0.000e+00
44 -5.233e-03 -4.113e-02 -1.595e-02 0.000e+00
45 2.848e-02 1.116e-02 1.709e-02 0.000e+00
46 6.415e-03 1.770e-02 -5.090e-02 0.000e+00
47 -2.537e-02 3.754e-02 -1.566e-02 0.000e+00
48 5.135e-02 1.587e-02 -3.974e-03 0.000e+00
49 4.472e-02 2.856e-02 2.986e-02 0.000e+00
50 1.492e-02 6.220e-02 -1.063e-03 9.619e+01
51 -8.987e-02 2.806e-02 -3.564e-02 0.000e+00
52 -3.741e-02 2.129e-02 -5.496e-02 0.000e+00
53 -4.658e-02 1.772e-02 -6.339e-03 0.000e+00
54 -3.989e-02 -2.713e-02 4.828e-02 0.000e+00
55 -4.904e-02 -3.396e-02 -2.566e-03 0.000e+00
56 -7.085e-03 -4.845e-02 4.282e-03 0.000e+00
57 -2.039e-02 1.529e-02 -5.107e-03 0.000e+00
58 -2.954e-02 4.397e-02 1.258e-02 0.000e+00
59 1.607e-02 -3.665e-02 1.408e-02 0.000e+00
60 -7.570e-03 1.602e-02 -3.495e-02 0.000e+00
61 -9.002e-03 -4.008e-02 2.748e-02 0.000e+00
62 1.244e-02 -3.719e-02 5.643e-02 0.000e+00
63 7.131e-03 4.881e-02 1.214e-03 0.000e+00
64 2.090e-02 -3.009e-02 2.540e-02 0.000e+00
65 1.971e-02 4.039e-02 -6.623e-03 0.000e+00
66 4.195e-02 2.515e-02 -5.164e-02 0.000e+00
67 4.439e-02 -5.063e-03 7.544e-02 0.000e+00
68 -1.059e-03 -5.002e-02 -2.924e-02 0.000e+00
69 1.550e-02 3.708e-02 -2.755e-02 0.000e+00
70 2.573e-02 -4.905e-02 -1.663e-02 0.000e+00
71 7.888e-03 -3.979e-02 -3.849e-02 0.000e+00
72 7.330e-03 5.531e-02 2.802e-03 -2.328e-01
73 -3.065e-02 -4.690e-02 2.997e-02 0.000e+00
74 1.478e-02 -3.612e-02 4.158e-02 0.000e+00
75 2.242e-02 -4.829e-02 -3.510e-02 0.000e+00
76 1.933e-02 2.348e-02 3.810e-02 0.000e+00
77 2.878e-02 9.697e-03 -1.862e-02 0.000e+00
78 1.262e-02 1.098e-02 -1.635e-02 0.000e+00
79 -5.244e-02 2.153e-02 -1.147e-02 0.000e+00
80 3.432e-02 -2.079e-02 -1.765e-02 0.000e+00
81 2.989e-02 2.022e-02 4.744e-02 0.000e+00
82 1.946e-02 -4.550e-02 -1.621e-02 0.000e+00
83 -2.189e-02 -4.543e-02 3.746e-03 0.000e+00
84 1.310e-02 1.984e-02 4.473e-02 0.000e+00
85 -5.278e-02 -4.191e-02 1.975e-02 0.000e+00
86 -4.805e-03 -3.523e-02 -1.028e-02 0.000e+00
87 -6.133e-03 -7.998e-05 -6.989e-02 0.000e+00
88 -1.772e-02 6.089e-03 2.478e-02 0.000e+00
89 1.789e-02 3.718e-02 1.365e-04 0.000e+00
90 4.366e-02 -2.841e-02 -4.024e-02 0.000e+00
91 -7.163e-04 -2.997e-02 -2.848e-02 0.000e+00
92 -4.972e-02 2.981e-02 1.509e-02 0.000e+00
93 -7.992e-02 1.667e-02 -1.161e-02 0.000e+00
94 -4.081e-02 7.342e-03 -2.218e-02 0.000e+00
95 -4.036e-03 -2.798e-02 4.192e-02 0.000e+00
96 -3.170e-02 -4.052e-02 2.954e-03 0.000e+00
97 -4.697e-02 -4.442e-02 4.260e-02 0.000e+00
98 -2.751e-02 1.619e-02 4.166e-03 0.000e+00
99 -5.480e-02 -2.461e-02 2.041e-02 0.000e+00
100 -4.787e-02 4.379e-02 7.637e-03 0.000e+00
101 -5.117e-02 1.001e-02 -1.438e-02 0.000e+00
102 -5.902e-02 1.364e-03 1.961e-02 0.000e+00
103 -4.404e-02 -4.588e-02 -1.541e-02 0.000e+00
104 1.907e-02 -4.023e-02 -2.150e-02 0.000e+00
105 2.949e-03 -4.069e-02 2.704e-03 0.000e+00
106 2.376e-02 -4.431e-02 3.259e-02 0.000e+00
107 7.206e-02 -4.238e-02 -1.130e-02 0.000e+00
108 -3.720e-02 8.359e-02 1.552e-02 5.475e+01
109 3.122e-04 2.595e-02 -3.186e-02 0.000e+00
110 1.455e-02 3.181e-02 4.784e-03 0.000e+00
111 5.182e-02 -4.571e-02 2.169e-02 0.000e+00
112 3.871e-03 6.601e-02 1.297e-02 8.607e+01
113 1.764e-03 1.904e-02 -7.222e-02 0.000e+00
114 2.069e-02 -2.668e-02 -1.236e-03 0.000e+00
115 1.372e-02 1.241e-02 -1.389e-02 0.000e+00
116 5.202e-02 3.104e-02 6.214e-02 0.000e+00
117 1.657e-02 2.623e-02 -8.738e-03 0.000e+00
118 5.927e-02 2.722e-02 -9.423e-03 0.000e+00
119 2.371e-02 1.931e-02 -3.624e-02 0.000e+00
120 6.152e-03 -4.870e-02 -2.598e-02 0.000e+00
121 2.701e-02 -4.735e-02 4.293e-02 0.000e+00
122 5.400e-02 3.475e-02 -1.142e-02 0.000e+00
123 5.551e-02 -4.358e-02 2.533e-02 0.000e+00
124 7.859e-03 7.563e-02 -4.724e-02 3.310e+01
125 3.563e-02 8.961e-03 6.107e-03 0.000e+00
126 4.132e-02 1.192e-02 -1.267e-02 0.000e+00
127 -2.078e-02 -4.584e-02 6.703e-04 0.000e+00
128 5.434e-02 2.239e-02 1.779e-02 0.000e+00
129 -2.483e-02 3.015e-02 4.814e-02 0.000e+00
130 1.931e-02 1.612e-02 -2.302e-02 0.000e+00
131 -3.994e-02 -1.018e-02 1.262e-02 0.000e+00
132 -3.853e-02 -4.187e-02 2.036e-02 0.000e+00
133 -7.504e-03 -4.920e-03 2.925e-02 0.000e+00
134 4.599e-02 1.593e-02 -4.000e-03 0.000e+00
135 -3.975e-02 -3.432e-02 1.396e-02 0.000e+00
136 -9.039e-02 5.322e-03 -4.660e-02 0.000e+00
137 -3.710e-02 -3.825e-02 8.129e-03 0.000e+00
138 9.455e-03 -4.958e-02 -7.264e-04 0.000e+00
139 -4.304e-02 -3.958e-02 1.305e-03 0.000e+00
140 -1.127e-02 2.292e-02 8.254e-03 0.000e+00
141 3.251e-02 2.170e-02 1.218e-02 0.000e+00
142 -5.730e-02 -2.015e-03 8.873e-03 0.000e+00
143 2.439e-02 2.629e-02 -1.621e-03 0.000e+00
144 4.607e-03 2.210e-02 -3.441e-02 0.000e+00
145 -1.326e-02 -2.597e-03 -5.003e-02 0.000e+00
146 2.512e-02 2.393e-02 3.470e-02 0.000e+00
147 -8.215e-03 -4.932e-02 -2.789e-02 0.000e+00
148 1.572e-02 -1.918e-02 -2.934e-02 0.000e+00
149 -5.663e-02 -3.146e-02 5.395e-02 0.000e+00
150 -7.231e-02 -4.534e-02 -1.163e-02 0.000e+00
151 5.732e-03 6.279e-02 3.456e-02 8.274e+01
152 -3.353e-02 4.886e-02 3.155e-02 0.000e+00
153 -7.431e-02 -6.713e-03 -2.956e-02 0.000e+00
154 -6.565e-02 -3.085e-02 -2.293e-03 0.000e+00
155 -7.398e-03 4.981e-02 -4.867e-02 0.000e+00
156 -2.015e-02 1.539e-02 2.522e-02 0.000e+00
157 -3.788e-02 -3.917e-02 -4.982e-02 0.000e+00
158 -5.027e-02 -4.789e-02 4.039e-02 0.000e+00
159 2.767e-02 1.022e-02 3.728e-02 0.000e+00
160 -1.426e-02 3.905e-02 -1.747e-02 0.000e+00
