Bin I L V PA
0 -1.502e-02 7.702e-03 1.898e-03 0.000e+00
1 -1.859e-04 1.743e-02 2.512e-02 0.000e+00
2 1.453e-03 3.487e-03 -8.247e-03 0.000e+00
3 -3.805e-02 8.042e-03 5.698e-03 0.000e+00
4 -2.734e-02 9.152e-03 -6.474e-03 0.000e+00
5 1.954e-02 1.511e-02 6.865e-04 0.000e+00
6 1.463e-02 2.380e-03 8.953e-04 0.000e+00
7 -1.610e-03 1.214e-03 -1.254e-02 0.000e+00
8 6.221e-03 -1.804e-02 1.180e-02 0.000e+00
9 1.364e-02 5.697e-04 -1.062e-02 0.000e+00
10 1.287e-02 1.008e-02 2.507e-02 0.000e+00
11 1.597e-02 -2.267e-03 4.845e-03 0.000e+00
12 -1.163e-02 8.090e-03 8.801e-03 0.000e+00
13 1.192e-02 -1.994e-02 -1.371e-02 0.000e+00
14 -2.064e-02 -2.103e-02 6.689e-03 0.000e+00
15 -1.321e-03 2.524e-02 -6.888e-03 6.853e+01
16 -3.297e-03 4.652e-03 1.683e-02 0.000e+00
17 -4.624e-03 -2.115e-02 1.464e-02 0.000e+00
18 1.434e-04 -2.315e-02 -2.275e-02 0.000e+00
19 -2.367e-02 -2.215e-02 1.855e-02 0.000e+00
20 -2.663e-02 -2.001e-02 -1.435e-02 0.000e+00
21 -1.399e-03 -1.823e-02 -9.787e-03 0.000e+00
22 -2.356e-02 -6.374e-03 -4.157e-03 0.000e+00
23 1.044e-02 -2.303e-02 2.849e-03 0.000e+00
24 8.582e-03 9.401e-03 1.414e-02 0.000e+00
25 -1.635e-02 -1.733e-02 2.667e-03 0.000e+00
26 2.192e-02 -4.426e-04 1.131e-02 0.000e+00
27 -9.844e-03 8.507e-03 -7.939e-03 0.000e+00
28 4.727e-03 -4.587e-03 -8.101e-03 0.000e+00
29 2.009e-03 9.091e-04 1.625e-02 0.000e+00
30 1.630e-02 1.767e-02 -5.727e-03 0.000e+00
31 2.927e-02 9.051e-03 1.656e-02 0.000e+00
32 -5.564e-03 4.740e-03 -3.485e-03 0.000e+00
33 2.723e-02 1.239e-02 6.445e-03 0.000e+00
34 -8.192e-03 1.911e-02 1.018e-02 0.000e+00
35 -4.679e-03 -2.072e-02 -7.262e-03 0.000e+00
36 -6.825e-03 1.474e-02 1.357e-02 0.000e+00
37 -1.960e-02 1.360e-02 -1.816e-02 0.000e+00
38 9.285e-03 -1.491e-02 -1.579e-03 0.000e+00
39 2.720e-02 -1.343e-02 -1.489e-02 0.000e+00
40 -3.678e-03 1.715e-02 -3.262e-04 0.000e+00
41 -2.135e-02 1.433e-02 -2.520e-02 0.000e+00
42 -1.076e-02 1.426e-02 8.323e-03 0.000e+00
43 -2.067e-02 -1.109e-03 -7.074e-03 0.000e+00
44 -9.009e-03 1.660e-02 -2.268e-02 0.000e+00
45 4.705e-03 6.755e-03 -1.733e-02 0.000e+00
46 1.214e-03 2.350e-02 -2.219e-02 -4.061e+01
47 -7.731e-03 1.004e-02 -3.584e-02 0.000e+00
48 7.827e-03 -2.121e-02 8.634e-03 0.000e+00
49 -1.739e-03 5.571e-03 -1.718e-02 0.000e+00
50 -4.167e-03 -1.840e-02 1.172e-03 0.000e+00
51 -1.773e-02 -1.855e-02 1.247e-02 0.000e+00
52 -2.665e-03 9.167e-03 2.197e-02 0.000e+00
53 -1.719e-02 1.421e-02 9.735e-03 0.000e+00
54 -1.261e-02 -2.250e-02 -3.887e-02 0.000e+00
55 1.755e-02 -2.316e-02 7.665e-03 0.000e+00
56 -3.129e-02 1.386e-02 -4.890e-02 0.000e+00
57 7.140e-03 -6.719e-03 3.330e-03 0.000e+00
58 1.399e-02 -2.025e-02 2.036e-02 0.000e+00
59 9.299e-03 -8.396e-04 -1.255e-02 0.000e+00
60 1.093e-02 1.190e-02 1.072e-02 0.000e+00
61 -2.238e-02 2.808e-02 -1.046e-02 3.723e+01
62 -9.538e-03 -1.804e-02 -3.291e-02 0.000e+00
63 -5.334e-03 5.759e-03 5.853e-03 0.000e+00
64 -2.094e-02 -2.188e-02 1.587e-02 0.000e+00
65 1.281e-03 8.378e-03 1.422e-02 0.000e+00
66 2.385e-03 -1.847e-02 -1.199e-02 0.000e+00
67 -1.318e-02 1.035e-02 1.141e-02 0.000e+00
68 -2.939e-02 -2.274e-02 -6.163e-03 0.000e+00
69 1.353e-02 -2.067e-02 -5.660e-03 0.000e+00
70 -2.140e-02 -1.486e-02 -1.067e-03 0.000e+00
71 1.748e-02 1.425e-02 -1.355e-03 0.000e+00
72 1.384e-02 -2.254e-02 -4.390e-03 0.000e+00
73 1.515e-02 4.631e-04 1.421e-02 0.000e+00
74 -1.234e-02 2.128e-02 2.425e-02 0.000e+00
75 7.043e-03 -1.103e-02 -6.094e-03 0.000e+00
76 -1.562e-02 1.520e-02 -8.279e-03 0.000e+00
77 -8.918e-03 6.106e-03 -3.157e-03 0.000e+00
78 -5.398e-03 -1.750e-02 3.460e-03 0.000e+00
79 7.388e-03 2.068e-02 1.165e-02 0.000e+00
80 -8.323e-03 8.051e-03 -4.371e-03 0.000e+00
81 2.091e-02 -4.069e-03 6.967e-03 0.000e+00
82 1.894e-02 -2.126e-02 -3.346e-02 0.000e+00
83 -1.009e-02 1.353e-02 3.139e-03 0.000e+00
84 -1.889e-02 1.264e-03 2.363e-02 0.000e+00
85 -1.382e-02 9.168e-03 1.352e-02 0.000e+00
86 4.018e-04 6.731e-03 1.389e-02 0.000e+00
87 -1.270e-02 1.071e-02 -1.670e-02 0.000e+00
88 1.649e-02 -4.504e-03 5.896e-03 0.000e+00
89 1.490e-03 -2.208e-02 -1.055e-02 0.000e+00
90 1.140e-03 1.231e-02 2.145e-03 0.000e+00
91 9.641e-04 -1.153e-02 2.570e-03 0.000e+00
92 -6.874e-03 -1.583e-02 1.897e-03 0.000e+00
93 -9.724e-03 -1.722e-02 -9.510e-03 0.000e+00
94 -1.155e-02 1.012e-02 -2.001e-02 0.000e+00
95 -1.479e-02 2.259e-02 -3.260e-03 0.000e+00
96 -1.607e-02 -4.329e-03 -6.944e-03 0.000e+00
97 6.475e-03 -1.627e-02 9.692e-03 0.000e+00
98 -1.176e-02 -1.462e-02 -3.030e-03 0.000e+00
99 -1.376e-02 -2.103e-02 -1.826e-02 0.000e+00
100 -9.034e-03 -8.496e-03 1.313e-02 0.000e+00
101 -4.385e-03 -1.763e-02 1.033e-03 0.000e+00
102 -1.545e-02 -2.108e-03 -1.356e-03 0.000e+00
103 -2.176e-03 1.335e-02 2.390e-02 0.000e+00
104 -4.825e-03 7.004e-03 -8.292e-03 0.000e+00
105 2.218e-02 6.959e-03 -1.102e-02 0.000e+00
106 -6.643e-03 -2.254e-02 5.395e-03 0.000e+00
107 6.727e-03 -1.353e-02 -1.600e-02 0.000e+00
108 -7.607e-03 1.354e-02 1.819e-02 0.000e+00
109 -1.229e-02 -1.370e-02 1.831e-02 0.000e+00
110 1.577e-02 -2.031e-02 -1.037e-02 0.000e+00
111 -4.269e-02 -1.652e-02 -6.519e-03 0.000e+00
112 2.807e-02 -1.580e-02 6.146e-03 0.000e+00
113 4.386e-03 -2.155e-02 -4.578e-03 0.000e+00
114 6.775e-03 -8.944e-04 3.561e-03 0.000e+00
115 1.836e-02 -8.247e-05 -9.269e-03 0.000e+00
116 -3.109e-02 -1.577e-04 6.640e-03 0.000e+00
117 1.480e-02 1.396e-02 1.980e-02 0.000e+00
118 5.591e-04 -2.023e-02 -5.483e-04 0.000e+00
119 -1.144e-04 -4.486e-03 -3.108e-02 0.000e+00
120 6.188e-03 1.914e-02 8.708e-03 0.000e+00
121 1.301e-02 -2.293e-02 -1.417e-02 0.000e+00
122 2.677e-02 -2.063e-02 -1.582e-02 0.000e+00
123 -5.237e-05 -1.328e-02 -1.360e-02 0.000e+00
124 -4.917e-03 -2.207e-02 4.168e-02 0.000e+00
125 3.438e-02 -1.820e-02 4.121e-03 0.000e+00
126 -2.296e-02 -1.376e-02 -1.865e-04 0.000e+00
