Bin I L V PA
0 -1.177e-02 -8.264e-03 -6.030e-03 0.000e+00
1 -1.238e-02 -1.403e-02 1.258e-02 0.000e+00
2 -1.312e-02 2.309e-03 3.946e-03 0.000e+00
3 -7.052e-03 -8.060e-04 1.477e-02 0.000e+00
4 -2.950e-03 7.821e-04 9.492e-03 0.000e+00
5 1.281e-02 3.558e-03 -1.428e-02 0.000e+00
6 1.482e-03 -1.211e-02 7.010e-03 0.000e+00
7 6.255e-03 -1.216e-02 3.347e-03 0.000e+00
8 5.826e-04 -1.232e-02 4.483e-03 0.000e+00
9 -1.373e-02 -1.295e-02 1.271e-02 0.000e+00
10 -8.627e-03 -1.443e-02 -1.157e-02 0.000e+00
11 -7.315e-04 1.437e-02 -2.409e-02 0.000e+00
12 -1.586e-02 -1.265e-02 -1.361e-02 0.000e+00
13 1.357e-03 6.201e-03 -2.433e-03 0.000e+00
14 1.057e-02 -8.868e-03 7.682e-04 0.000e+00
15 -9.204e-03 7.253e-03 -9.235e-03 0.000e+00
16 -1.709e-02 -5.583e-03 -1.367e-02 0.000e+00
17 3.967e-03 -7.038e-03 1.244e-02 0.000e+00
18 -2.854e-03 1.558e-02 3.642e-03 0.000e+00
19 2.906e-02 5.081e-03 1.594e-02 0.000e+00
20 8.743e-03 -3.335e-03 -2.181e-02 0.000e+00
21 1.393e-02 -1.297e-02 -1.261e-03 0.000e+00
22 -4.947e-03 -9.253e-04 -1.490e-02 0.000e+00
23 -1.625e-04 5.295e-03 6.661e-03 0.000e+00
24 4.454e-03 -1.118e-02 1.531e-02 0.000e+00
25 -1.530e-02 -1.322e-02 1.006e-02 0.000e+00
26 7.259e-03 3.918e-03 -1.073e-02 0.000e+00
27 -1.196e-02 -1.249e-02 -3.046e-04 0.000e+00
28 9.730e-03 4.982e-03 -3.091e-03 0.000e+00
29 1.267e-02 -1.195e-02 -1.236e-02 0.000e+00
30 -1.917e-03 -1.433e-02 -1.758e-04 0.000e+00
31 1.814e-02 -1.190e-02 1.005e-03 0.000e+00
32 -8.382e-04 -8.383e-03 -2.678e-03 0.000e+00
33 7.774e-03 6.113e-03 -1.496e-02 0.000e+00
34 1.515e-02 -1.270e-02 -2.901e-03 0.000e+00
35 1.835e-03 -7.684e-03 -9.625e-03 0.000e+00
36 -3.617e-03 -1.022e-02 -6.004e-03 0.000e+00
37 9.842e-03 6.853e-03 1.248e-02 0.000e+00
38 1.080e-02 1.184e-03 1.166e-02 0.000e+00
39 -7.577e-03 6.123e-03 7.715e-03 0.000e+00
40 5.776e-03 -5.309e-03 1.132e-02 0.000e+00
41 7.636e-03 7.092e-03 -9.565e-03 0.000e+00
42 -1.956e-03 -1.224e-02 -2.166e-03 0.000e+00
43 1.146e-02 1.904e-03 -9.272e-03 0.000e+00
44 1.283e-02 9.645e-03 6.986e-03 0.000e+00
45 1.119e-02 -1.373e-02 1.313e-02 0.000e+00
46 1.981e-02 1.393e-03 7.742e-03 0.000e+00
47 1.686e-02 -1.372e-02 -2.066e-03 0.000e+00
48 -5.718e-03 8.939e-03 1.395e-02 0.000e+00
49 1.896e-02 9.849e-03 8.429e-03 0.000e+00
50 2.322e-02 4.482e-03 6.411e-03 0.000e+00
51 2.243e-02 3.643e-02 -2.057e-02 2.319e+01
52 2.717e-02 8.562e-03 -2.397e-02 0.000e+00
53 4.855e-03 1.600e-02 -1.231e-02 0.000e+00
54 2.573e-02 -1.031e-02 1.105e-02 0.000e+00
55 7.908e-04 -1.391e-02 6.639e-03 0.000e+00
56 1.298e-02 -8.081e-03 3.171e-03 0.000e+00
57 1.807e-02 1.383e-02 -1.899e-03 0.000e+00
58 2.102e-02 -1.363e-02 4.233e-03 0.000e+00
59 2.258e-02 -1.312e-02 -1.705e-03 0.000e+00
60 1.506e-02 -1.301e-02 -2.457e-04 0.000e+00
61 4.766e-03 7.049e-03 -1.736e-03 0.000e+00
62 1.208e-03 -1.108e-02 -1.226e-02 0.000e+00
63 2.666e-02 1.794e-02 -5.919e-03 -6.474e+01
64 -3.797e-03 8.005e-03 1.113e-02 0.000e+00
65 -1.369e-02 1.339e-02 1.220e-02 0.000e+00
66 1.886e-02 -1.127e-02 -1.246e-02 0.000e+00
67 -3.420e-03 -1.024e-02 -5.717e-03 0.000e+00
68 -9.604e-03 2.396e-03 1.760e-04 0.000e+00
69 -1.016e-02 -1.008e-03 1.860e-03 0.000e+00
70 -1.081e-02 4.441e-03 -3.438e-03 0.000e+00
71 2.351e-03 -1.322e-02 -6.322e-03 0.000e+00
72 6.392e-03 -1.974e-04 -1.404e-04 0.000e+00
73 1.792e-03 5.716e-03 2.401e-02 0.000e+00
74 -2.890e-04 -1.098e-02 -1.191e-02 0.000e+00
75 -6.908e-03 -1.427e-02 -7.744e-03 0.000e+00
76 -1.243e-02 7.751e-03 -4.354e-03 0.000e+00
77 -2.954e-03 4.699e-03 -1.181e-02 0.000e+00
78 7.287e-03 2.280e-02 -4.117e-03 -4.361e+01
79 -6.854e-03 7.864e-03 8.348e-03 0.000e+00
80 -4.140e-03 1.934e-03 -1.672e-02 0.000e+00
81 -6.995e-03 6.860e-03 -9.587e-04 0.000e+00
82 1.926e-03 8.934e-04 -1.235e-02 0.000e+00
83 -3.555e-03 2.086e-03 9.654e-03 0.000e+00
84 -1.386e-02 -1.077e-02 -1.662e-02 0.000e+00
85 -1.364e-02 -1.444e-02 -7.376e-03 0.000e+00
86 -4.219e-03 8.395e-03 2.686e-02 0.000e+00
87 -3.467e-03 -2.237e-03 5.581e-04 0.000e+00
88 1.161e-02 -1.394e-02 -1.695e-03 0.000e+00
89 -5.579e-06 3.030e-03 1.585e-02 0.000e+00
90 -1.430e-02 4.628e-03 1.185e-02 0.000e+00
91 8.075e-03 7.528e-03 1.646e-03 0.000e+00
92 -8.722e-03 -1.171e-02 -7.267e-03 0.000e+00
93 -2.033e-03 5.874e-03 -1.525e-02 0.000e+00
94 -9.864e-03 2.253e-02 -5.294e-04 -5.792e+01
95 9.973e-03 -1.286e-02 3.721e-03 0.000e+00
96 -1.662e-03 1.197e-02 -1.698e-02 0.000e+00
97 -1.062e-03 1.777e-02 -4.656e-03 -9.951e+01
98 -1.281e-02 -1.249e-02 1.178e-02 0.000e+00
99 -7.321e-03 -1.421e-02 5.093e-03 0.000e+00
100 4.227e-04 -1.304e-02 -3.480e-03 0.000e+00
101 5.249e-03 -8.930e-03 8.306e-03 0.000e+00
102 -1.497e-02 -5.696e-03 -1.612e-02 0.000e+00
103 -3.968e-03 1.032e-02 -6.933e-03 0.000e+00
104 -1.527e-02 -9.332e-03 1.196e-02 0.000e+00
105 -1.141e-02 -1.037e-02 -1.896e-03 0.000e+00
106 -1.009e-02 2.016e-02 2.054e-03 2.341e+01
107 -7.739e-03 1.031e-02 9.854e-03 0.000e+00
108 1.099e-02 -1.419e-02 1.279e-02 0.000e+00
109 1.236e-02 -1.345e-02 1.169e-03 0.000e+00
110 1.028e-02 -1.385e-02 9.707e-03 0.000e+00
111 -2.411e-02 1.221e-02 4.146e-03 0.000e+00
112 -1.118e-02 -6.726e-03 4.480e-03 0.000e+00
113 -1.043e-02 1.386e-03 -5.025e-04 0.000e+00
114 -9.916e-03 5.689e-03 -1.221e-02 0.000e+00
115 6.684e-03 1.157e-02 -1.632e-02 0.000e+00
116 1.187e-02 -9.711e-03 -4.657e-03 0.000e+00
117 4.486e-03 8.576e-03 -1.923e-02 0.000e+00
118 -1.674e-03 -1.104e-02 -2.916e-03 0.000e+00
119 -3.087e-03 1.007e-03 -1.253e-02 0.000e+00
120 -6.419e-03 1.005e-02 -1.794e-03 0.000e+00
121 8.331e-03 1.151e-03 4.387e-03 0.000e+00
122 4.788e-03 -1.443e-02 2.927e-03 0.000e+00
123 5.970e-03 -1.353e-02 7.681e-03 0.000e+00
124 -9.361e-04 -1.241e-02 -1.633e-03 0.000e+00
125 2.491e-04 5.099e-04 3.696e-03 0.000e+00
126 3.033e-03 8.147e-03 -5.350e-03 0.000e+00
127 -1.481e-02 4.979e-03 4.864e-03 0.000e+00
128 1.095e-02 8.091e-03 -1.123e-02 0.000e+00
129 -3.797e-03 -9.131e-03 1.298e-02 0.000e+00
130 7.468e-03 2.388e-02 1.789e-02 4.451e+01
131 -1.035e-02 1.791e-02 5.477e-03 7.410e+00
132 2.566e-03 9.466e-03 1.441e-02 0.000e+00
133 5.537e-03 -1.119e-02 -1.898e-03 0.000e+00
134 -3.234e-03 -1.066e-02 -4.476e-03 0.000e+00
135 8.006e-03 9.257e-03 -7.102e-03 0.000e+00
136 6.000e-03 2.657e-02 5.475e-03 -5.716e+01
137 -6.129e-03 2.273e-03 -2.453e-03 0.000e+00
138 2.884e-03 1.054e-02 1.269e-02 0.000e+00
139 -1.075e-02 2.682e-03 -4.990e-04 0.000e+00
140 -1.268e-02 8.950e-03 -9.820e-05 0.000e+00
141 -1.070e-02 1.473e-02 6.502e-04 0.000e+00
142 3.483e-03 -1.350e-02 4.918e-03 0.000e+00
143 1.503e-02 -1.089e-02 5.287e-03 0.000e+00
144 5.017e-04 7.763e-03 -1.653e-02 0.000e+00
145 8.316e-03 -4.854e-03 -4.426e-03 0.000e+00
146 4.157e-03 5.236e-03 1.096e-02 0.000e+00
147 -1.309e-03 1.492e-04 2.959e-02 0.000e+00
148 -1.900e-02 -1.326e-02 -1.234e-02 0.000e+00
149 -1.662e-02 -7.121e-05 -1.296e-02 0.000e+00
150 -4.463e-04 -9.214e-03 5.239e-03 0.000e+00
151 -1.470e-02 1.518e-03 1.781e-02 0.000e+00
152 -1.141e-02 -9.906e-03 -4.014e-04 0.000e+00
153 3.864e-03 1.671e-02 8.546e-03 -3.359e+01
