Bin I L V PA
0 1.434e-03 -1.550e-03 -8.528e-04 0.000e+00
1 1.752e-04 9.914e-04 -1.166e-03 0.000e+00
2 -6.272e-05 -1.948e-03 1.484e-03 0.000e+00
3 8.506e-04 3.139e-03 -4.065e-04 6.119e+01
4 2.283e-03 -1.238e-03 -1.301e-03 0.000e+00
5 1.165e-05 -6.482e-05 -8.404e-04 0.000e+00
6 1.236e-04 2.078e-03 9.220e-04 0.000e+00
7 4.802e-04 1.358e-03 -2.987e-03 0.000e+00
8 -1.076e-03 6.789e-04 -1.917e-03 0.000e+00
9 -2.612e-03 9.266e-04 -1.234e-03 0.000e+00
10 1.533e-03 -1.852e-03 1.242e-05 0.000e+00
11 5.552e-04 -1.899e-03 -1.118e-03 0.000e+00
12 1.942e-03 -1.237e-03 -3.295e-04 0.000e+00
13 6.515e-06 -1.514e-03 1.616e-03 0.000e+00
14 -9.476e-04 1.754e-03 5.356e-04 0.000e+00
15 1.963e-03 -1.975e-03 1.465e-04 0.000e+00
16 1.452e-03 -1.390e-03 7.283e-04 0.000e+00
17 6.253e-04 -1.913e-03 8.209e-04 0.000e+00
18 3.387e-04 -1.619e-03 1.257e-03 0.000e+00
19 1.627e-03 -1.071e-03 1.415e-04 0.000e+00
20 3.822e-03 -1.633e-03 4.867e-04 0.000e+00
21 3.086e-03 -1.887e-03 -7.105e-06 0.000e+00
22 1.917e-03 1.141e-03 -6.718e-04 0.000e+00
23 -1.276e-03 -1.177e-03 -7.761e-04 0.000e+00
24 2.437e-03 -8.212e-04 -1.497e-04 0.000e+00
25 9.278e-04 1.101e-03 -3.529e-04 0.000e+00
26 9.869e-04 9.833e-04 2.187e-03 0.000e+00
27 6.484e-04 1.299e-03 -2.201e-04 0.000e+00
28 -4.996e-04 2.669e-03 -1.214e-03 -3.577e+01
29 1.821e-04 -1.181e-03 -2.579e-04 0.000e+00
30 5.444e-05 -1.986e-03 -5.715e-04 0.000e+00
31 9.916e-04 -1.324e-03 1.745e-04 0.000e+00
32 -1.361e-04 7.367e-04 1.212e-03 0.000e+00
33 -1.261e-03 1.739e-03 7.379e-04 0.000e+00
34 3.439e-04 -1.266e-03 -1.229e-03 0.000e+00
35 -1.043e-03 3.978e-04 -2.579e-04 0.000e+00
36 -2.518e-03 -1.714e-03 1.629e-05 0.000e+00
37 2.371e-04 -1.544e-04 1.199e-03 0.000e+00
38 -9.450e-04 -1.813e-03 7.880e-04 0.000e+00
39 -1.334e-03 -2.027e-03 2.505e-04 0.000e+00
40 -1.346e-03 1.211e-04 -2.996e-04 0.000e+00
41 -1.469e-03 5.050e-04 1.882e-03 0.000e+00
42 -1.373e-03 1.149e-03 1.755e-03 0.000e+00
43 2.251e-04 -1.782e-03 -3.842e-04 0.000e+00
44 9.135e-04 2.355e-03 1.199e-04 -3.626e+01
45 6.189e-04 -1.758e-03 -2.093e-03 0.000e+00
46 -2.442e-04 1.417e-03 3.334e-04 0.000e+00
47 9.110e-04 4.504e-04 1.148e-03 0.000e+00
48 1.142e-03 2.620e-03 -2.408e-04 -1.790e+01
49 3.584e-04 -1.671e-03 4.664e-04 0.000e+00
50 -8.655e-07 -1.341e-03 2.211e-03 0.000e+00
51 8.803e-04 -1.491e-03 -5.071e-04 0.000e+00
52 1.675e-03 2.105e-03 -6.126e-05 0.000e+00
53 -1.714e-03 -1.786e-03 -5.499e-04 0.000e+00
54 1.873e-03 -8.697e-05 3.327e-04 0.000e+00
55 1.478e-03 -2.074e-03 5.962e-04 0.000e+00
56 -1.705e-04 1.981e-03 1.431e-03 0.000e+00
57 -1.157e-03 -1.812e-03 2.763e-04 0.000e+00
58 -1.796e-03 -3.247e-04 -1.280e-03 0.000e+00
59 -1.309e-03 -1.930e-03 2.745e-03 0.000e+00
60 -2.235e-03 1.484e-03 1.397e-03 0.000e+00
61 2.202e-03 -1.119e-03 -1.174e-03 0.000e+00
62 -5.619e-04 -1.468e-03 -1.977e-03 0.000e+00
63 5.216e-04 -1.997e-03 -1.375e-04 0.000e+00
64 -9.689e-04 -1.798e-03 -2.080e-03 0.000e+00
65 3.243e-04 6.765e-04 2.222e-03 0.000e+00
66 -2.381e-03 5.600e-05 -1.192e-03 0.000e+00
67 1.715e-05 -2.000e-03 -5.806e-05 0.000e+00
68 9.256e-04 -1.843e-03 -8.934e-04 0.000e+00
69 -1.589e-03 3.419e-04 5.412e-04 0.000e+00
70 1.684e-03 -1.219e-03 -1.693e-03 0.000e+00
71 -6.619e-04 -3.437e-04 2.032e-03 0.000e+00
72 -1.668e-03 -1.893e-03 -6.397e-04 0.000e+00
73 -1.238e-03 8.546e-04 -6.169e-04 0.000e+00
74 -5.352e-04 -1.784e-03 6.925e-05 0.000e+00
75 -4.204e-04 5.932e-04 -2.320e-03 0.000e+00
76 -5.483e-04 -2.042e-03 -3.249e-04 0.000e+00
77 -1.096e-03 1.250e-03 -1.082e-03 0.000e+00
78 4.544e-04 -3.296e-04 -5.446e-04 0.000e+00
79 1.426e-04 -1.373e-03 1.012e-04 0.000e+00
80 -7.739e-04 -1.956e-03 6.658e-04 0.000e+00
81 -2.596e-04 -1.735e-03 -3.615e-05 0.000e+00
82 -1.765e-03 1.193e-03 -1.479e-04 0.000e+00
83 -2.151e-03 1.742e-03 9.195e-04 0.000e+00
84 -7.624e-04 1.785e-03 1.550e-03 0.000e+00
85 -2.919e-04 1.698e-03 -7.305e-07 0.000e+00
86 -1.128e-03 7.138e-04 -1.038e-03 0.000e+00
87 4.228e-04 1.055e-04 2.893e-05 0.000e+00
88 -1.643e-03 1.782e-03 6.705e-05 0.000e+00
89 -1.645e-03 3.052e-03 7.847e-04 -4.640e+01
90 -2.878e-04 -1.430e-03 -3.979e-04 0.000e+00
91 -5.543e-04 -1.781e-03 -5.405e-04 0.000e+00
92 -2.198e-05 -2.096e-03 -3.750e-03 0.000e+00
93 1.398e-03 1.754e-03 -1.744e-03 0.000e+00
94 -7.759e-04 -1.019e-03 1.193e-03 0.000e+00
95 -2.428e-03 -1.315e-03 -1.232e-03 0.000e+00
96 -1.665e-03 -2.090e-03 -4.787e-04 0.000e+00
97 -1.694e-04 -5.278e-04 1.855e-03 0.000e+00
98 -5.269e-04 1.941e-04 -1.940e-04 0.000e+00
99 -6.209e-04 -1.804e-03 1.550e-03 0.000e+00
100 1.047e-03 2.731e-03 -1.595e-03 -3.749e+01
101 1.666e-03 1.353e-03 7.920e-04 0.000e+00
102 5.894e-04 1.713e-03 3.982e-03 0.000e+00
103 -7.988e-05 -2.041e-03 -7.913e-04 0.000e+00
104 6.393e-04 4.374e-04 5.356e-05 0.000e+00
105 1.068e-03 5.884e-04 1.597e-03 0.000e+00
106 2.711e-04 2.112e-03 -2.101e-05 0.000e+00
107 1.195e-03 -2.056e-03 -1.556e-03 0.000e+00
108 2.116e-03 -1.642e-03 3.233e-03 0.000e+00
109 -2.779e-04 -1.315e-03 -5.417e-04 0.000e+00
110 -1.627e-03 1.834e-03 4.845e-04 0.000e+00
111 1.044e-03 -1.202e-03 1.702e-03 0.000e+00
112 7.270e-04 -1.921e-03 -7.049e-04 0.000e+00
113 -1.714e-03 1.540e-03 6.209e-04 0.000e+00
114 -2.241e-03 1.685e-04 -3.733e-04 0.000e+00
115 2.492e-04 6.363e-04 1.878e-03 0.000e+00
116 1.646e-03 -1.675e-03 5.389e-04 0.000e+00
117 5.838e-04 1.307e-03 -3.990e-04 0.000e+00
118 7.975e-04 2.838e-04 -2.060e-03 0.000e+00
119 7.402e-04 5.654e-04 1.310e-03 0.000e+00
120 -1.061e-04 1.483e-03 -2.174e-04 0.000e+00
121 -7.377e-04 -1.800e-03 1.777e-03 0.000e+00
122 7.568e-04 4.988e-04 -1.246e-03 0.000e+00
123 -3.526e-03 2.056e-04 -2.050e-03 0.000e+00
124 -1.425e-03 2.459e-03 -4.702e-05 -5.632e+01
125 3.546e-05 1.009e-03 -1.026e-03 0.000e+00
126 -6.339e-04 6.843e-04 1.425e-03 0.000e+00
127 -1.785e-03 1.124e-03 3.073e-03 0.000e+00
128 -1.757e-03 -1.898e-03 1.150e-04 0.000e+00
129 1.224e-03 9.077e-04 9.039e-04 0.000e+00
130 1.500e-03 5.692e-04 -7.811e-05 0.000e+00
131 -3.158e-03 -1.461e-03 -8.467e-04 0.000e+00
132 9.541e-04 -4.969e-05 -7.097e-04 0.000e+00
133 -9.937e-04 -9.769e-04 -2.506e-04 0.000e+00
134 2.117e-03 3.231e-03 -1.729e-03 -7.903e+01
135 -3.128e-03 2.198e-03 -8.429e-04 0.000e+00
136 -2.250e-03 4.692e-05 5.901e-04 0.000e+00
137 -6.591e-04 7.142e-04 -2.910e-04 0.000e+00
138 6.062e-04 -1.814e-03 -1.348e-03 0.000e+00
139 2.644e-04 -2.111e-03 1.536e-03 0.000e+00
140 2.432e-03 -1.363e-03 -1.301e-03 0.000e+00
141 4.616e-04 -2.047e-03 9.627e-04 0.000e+00
142 2.360e-03 -1.320e-03 8.012e-04 0.000e+00
143 1.415e-03 -1.748e-03 -2.652e-04 0.000e+00
144 -1.642e-03 1.597e-03 -2.147e-04 0.000e+00
145 -5.587e-04 -1.663e-03 -1.074e-03 0.000e+00
146 6.673e-04 -2.053e-03 -8.142e-04 0.000e+00
147 -1.073e-03 -1.146e-03 -7.644e-04 0.000e+00
148 1.944e-03 -1.536e-03 -2.737e-05 0.000e+00
149 -6.023e-04 -1.581e-03 -6.309e-04 0.000e+00
150 -1.546e-03 1.286e-04 -4.377e-04 0.000e+00
151 -4.940e-04 1.327e-04 -1.755e-03 0.000e+00
152 -1.346e-03 -1.296e-03 -8.769e-05 0.000e+00
153 -8.396e-04 -2.079e-03 6.104e-04 0.000e+00
154 3.392e-03 8.334e-04 7.347e-04 0.000e+00
155 1.200e-04 7.009e-04 5.470e-06 0.000e+00
156 2.816e-04 -2.286e-04 -2.568e-03 0.000e+00
157 1.054e-03 -1.872e-03 -1.139e-03 0.000e+00
158 -1.121e-03 8.195e-04 -7.757e-04 0.000e+00
159 -1.118e-03 1.483e-03 2.259e-04 0.000e+00
160 2.765e-03 2.678e-03 -8.585e-04 -3.193e+01
161 -1.815e-04 4.773e-04 -3.224e-04 0.000e+00
162 -6.663e-04 -1.921e-03 -1.024e-03 0.000e+00
163 2.995e-04 5.219e-04 1.116e-03 0.000e+00
164 -2.594e-07 9.990e-04 1.205e-04 0.000e+00
165 6.570e-04 -1.909e-03 2.869e-04 0.000e+00
166 -8.518e-04 2.054e-03 6.312e-04 0.000e+00
167 3.183e-03 1.831e-03 1.292e-03 0.000e+00
168 -6.514e-04 1.470e-03 2.532e-03 0.000e+00
169 -1.889e-03 -1.365e-03 2.125e-04 0.000e+00
170 -3.022e-05 -5.951e-04 1.253e-03 0.000e+00
171 -9.185e-04 1.548e-03 7.436e-04 0.000e+00
172 -8.214e-05 -1.854e-03 -9.134e-04 0.000e+00
173 -1.513e-03 2.467e-03 -1.030e-03 -9.260e+01
174 -9.413e-05 -2.793e-04 -6.746e-04 0.000e+00
175 -5.886e-04 -1.398e-03 -2.814e-03 0.000e+00
176 -3.593e-03 -1.213e-03 -1.132e-03 0.000e+00
177 -2.236e-03 1.101e-04 -1.080e-03 0.000e+00
178 -1.521e-03 1.466e-03 -1.086e-03 0.000e+00
179 -1.957e-04 7.928e-04 -2.447e-03 0.000e+00
180 1.430e-03 1.069e-03 6.345e-04 0.000e+00
181 5.930e-04 1.040e-03 5.063e-04 0.000e+00
182 3.366e-04 1.047e-03 2.187e-03 0.000e+00
183 6.185e-04 4.958e-04 -1.792e-04 0.000e+00
184 1.291e-03 2.016e-03 2.796e-03 0.000e+00
185 -7.952e-04 6.504e-04 -9.815e-04 0.000e+00
186 -1.349e-03 -1.873e-03 9.215e-04 0.000e+00
187 5.394e-05 -2.104e-03 -1.893e-04 0.000e+00
188 2.101e-03 -1.910e-03 4.464e-04 0.000e+00
189 -1.619e-03 1.752e-03 9.816e-04 0.000e+00
190 2.542e-03 -1.355e-03 -1.565e-03 0.000e+00
191 -8.732e-04 1.361e-03 2.715e-03 0.000e+00
192 6.582e-04 -1.900e-03 1.045e-04 0.000e+00
193 -2.821e-03 -1.887e-03 2.033e-03 0.000e+00
194 4.766e-04 -1.793e-03 3.993e-04 0.000e+00
195 2.110e-03 3.380e-03 -8.969e-04 1.957e+01
