Bin I L V PA
0 -1.757e-03 -4.034e-03 -3.502e-04 0.000e+00
1 2.120e-03 -2.812e-03 2.529e-03 0.000e+00
2 3.730e-03 2.641e-03 3.135e-03 0.000e+00
3 2.836e-03 6.373e-03 3.715e-03 -1.276e+01
4 -3.667e-03 2.513e-03 5.942e-04 0.000e+00
5 -6.336e-05 -4.412e-03 2.513e-03 0.000e+00
6 2.116e-03 5.110e-04 -9.616e-04 0.000e+00
7 2.722e-04 -4.498e-03 1.021e-03 0.000e+00
8 1.388e-03 -2.761e-03 -3.901e-04 0.000e+00
9 -2.057e-03 1.399e-03 -9.315e-04 0.000e+00
10 1.499e-03 -9.384e-04 8.336e-04 0.000e+00
11 -4.827e-03 5.673e-03 -1.801e-03 -8.951e+01
12 -2.271e-04 1.534e-03 -7.737e-04 0.000e+00
13 3.867e-03 6.363e-03 -4.169e-05 -4.888e+01
14 -2.859e-03 1.883e-03 -7.066e-04 0.000e+00
15 -1.045e-03 -4.443e-03 8.130e-04 0.000e+00
16 -3.657e-03 -2.316e-03 -9.331e-04 0.000e+00
17 2.459e-03 8.826e-04 1.607e-03 0.000e+00
18 -5.008e-03 2.814e-03 4.023e-04 0.000e+00
19 -2.961e-03 -3.393e-03 3.100e-03 0.000e+00
20 -1.981e-03 -1.096e-03 2.325e-03 0.000e+00
21 -2.784e-03 2.865e-03 1.073e-03 0.000e+00
22 2.498e-03 3.968e-03 1.182e-03 0.000e+00
23 -2.591e-03 5.630e-04 -3.313e-03 0.000e+00
24 1.005e-03 3.740e-03 3.266e-03 0.000e+00
25 -1.973e-03 -2.890e-03 4.067e-03 0.000e+00
26 -1.370e-03 -1.151e-03 -1.822e-04 0.000e+00
27 -5.944e-04 3.593e-03 -4.684e-03 0.000e+00
28 -6.690e-03 1.470e-04 -2.645e-07 0.000e+00
29 2.132e-04 -2.524e-03 5.596e-04 0.000e+00
30 -1.653e-03 4.093e-03 -5.009e-03 0.000e+00
31 -1.749e-03 6.065e-03 6.272e-03 2.518e+01
32 3.141e-04 -4.401e-03 -1.202e-04 0.000e+00
33 -5.190e-03 1.360e-03 -1.394e-03 0.000e+00
34 1.640e-03 1.335e-03 -5.086e-04 0.000e+00
35 6.019e-05 -4.335e-03 -3.620e-03 0.000e+00
36 -2.210e-03 4.640e-03 -6.708e-03 -3.970e+01
37 1.528e-03 3.199e-03 4.316e-03 0.000e+00
38 -2.409e-03 4.073e-03 4.247e-03 0.000e+00
39 -2.020e-03 -3.256e-03 2.025e-03 0.000e+00
40 2.020e-03 -4.163e-03 7.104e-03 0.000e+00
41 2.170e-03 5.624e-04 -6.054e-03 0.000e+00
42 -3.801e-03 -4.464e-03 7.270e-05 0.000e+00
43 -3.389e-03 -1.055e-03 2.372e-03 0.000e+00
44 -4.823e-03 -3.844e-03 -1.335e-03 0.000e+00
45 3.723e-03 1.132e-03 -3.898e-03 0.000e+00
46 -4.165e-04 1.924e-03 -1.409e-03 0.000e+00
47 -1.834e-03 -3.812e-03 -6.209e-03 0.000e+00
48 -7.989e-04 1.726e-03 -2.846e-03 0.000e+00
49 -4.890e-03 -5.927e-06 1.298e-03 0.000e+00
50 2.052e-03 -3.443e-03 -2.547e-04 0.000e+00
51 2.339e-03 -4.593e-03 -7.530e-04 0.000e+00
52 6.226e-04 2.027e-03 -2.809e-03 0.000e+00
53 -2.722e-04 -6.724e-04 2.817e-03 0.000e+00
54 3.429e-03 3.694e-03 2.885e-04 0.000e+00
55 8.484e-04 -6.320e-04 2.205e-03 0.000e+00
56 -1.011e-03 -3.447e-03 1.427e-03 0.000e+00
57 5.509e-04 1.445e-03 1.766e-03 0.000e+00
58 -4.537e-03 2.670e-03 3.275e-03 0.000e+00
59 3.813e-03 -1.080e-03 5.469e-04 0.000e+00
60 -2.717e-03 3.129e-03 4.794e-06 0.000e+00
61 -5.405e-03 -4.412e-04 4.209e-04 0.000e+00
62 -1.393e-03 6.463e-04 -4.074e-03 0.000e+00
63 1.465e-04 3.808e-04 -9.847e-04 0.000e+00
64 -9.836e-04 2.020e-04 1.963e-03 0.000e+00
65 -1.631e-03 7.768e-04 -2.774e-03 0.000e+00
66 3.824e-03 6.837e-04 -2.525e-03 0.000e+00
67 -1.764e-03 2.794e-03 3.461e-03 0.000e+00
68 -2.090e-03 2.217e-03 -4.298e-04 0.000e+00
69 -3.776e-03 -4.593e-03 -1.613e-03 0.000e+00
70 -3.489e-03 1.680e-03 1.053e-03 0.000e+00
71 3.700e-03 -3.793e-03 -8.056e-04 0.000e+00
72 -1.535e-03 1.517e-03 5.075e-03 0.000e+00
73 -4.614e-03 1.810e-03 6.377e-05 0.000e+00
74 -3.396e-03 3.049e-03 4.658e-03 0.000e+00
75 4.772e-03 -3.388e-03 2.956e-04 0.000e+00
76 -2.848e-03 2.006e-03 4.282e-03 0.000e+00
77 -3.945e-03 3.026e-03 -1.289e-03 0.000e+00
78 7.402e-04 2.478e-03 1.015e-03 0.000e+00
79 4.125e-03 -3.664e-03 -2.230e-03 0.000e+00
80 1.084e-03 -3.185e-03 -3.922e-03 0.000e+00
81 2.571e-03 4.493e-03 1.410e-03 -5.166e+01
82 -5.214e-03 -2.742e-03 -5.312e-03 0.000e+00
83 1.950e-04 1.942e-03 3.371e-03 0.000e+00
84 -1.771e-03 -4.071e-03 4.087e-04 0.000e+00
85 -1.260e-03 -2.782e-03 2.420e-03 0.000e+00
86 -4.810e-03 4.350e-03 2.551e-03 0.000e+00
87 2.051e-05 3.867e-03 -9.936e-04 0.000e+00
88 -5.714e-03 -3.609e-03 1.804e-03 0.000e+00
89 -6.702e-03 3.992e-03 -1.132e-03 0.000e+00
90 1.033e-03 2.854e-03 -1.297e-03 0.000e+00
91 8.971e-04 -4.320e-03 2.177e-04 0.000e+00
92 1.066e-03 -4.061e-03 -1.573e-03 0.000e+00
93 -2.183e-03 2.382e-03 -1.186e-03 0.000e+00
94 -2.783e-03 2.058e-03 4.095e-03 0.000e+00
95 6.044e-04 -3.407e-04 4.375e-04 0.000e+00
96 2.129e-03 1.126e-03 -2.232e-03 0.000e+00
97 -7.463e-04 9.050e-04 2.450e-03 0.000e+00
98 -2.522e-03 2.062e-03 5.277e-04 0.000e+00
99 -5.608e-03 -4.157e-03 1.115e-03 0.000e+00
100 2.370e-03 2.000e-03 5.430e-04 0.000e+00
101 -2.561e-03 1.317e-04 -3.390e-03 0.000e+00
102 1.790e-03 -1.712e-04 -2.778e-03 0.000e+00
103 -4.014e-03 2.396e-04 1.825e-03 0.000e+00
104 1.809e-03 -1.310e-03 -1.457e-03 0.000e+00
105 -2.156e-04 4.722e-03 -1.013e-03 -9.837e+01
106 4.342e-04 1.481e-03 2.155e-03 0.000e+00
107 3.017e-04 -3.879e-04 6.315e-03 0.000e+00
108 -2.578e-03 5.453e-03 1.458e-03 -4.784e+01
