Bin I L V PA
0 -1.428e-02 -1.755e-02 -5.724e-03 0.000e+00
1 1.242e-02 1.437e-02 -1.369e-02 0.000e+00
2 -5.939e-03 -1.348e-02 -2.240e-02 0.000e+00
3 -1.357e-02 1.622e-02 2.869e-02 0.000e+00
4 8.574e-03 -1.735e-02 3.383e-03 0.000e+00
5 -1.024e-02 -4.948e-05 -1.311e-02 0.000e+00
6 6.022e-03 9.065e-03 -3.118e-03 0.000e+00
7 -6.575e-03 -1.327e-02 -1.060e-03 0.000e+00
8 -1.248e-02 -1.805e-02 -9.717e-03 0.000e+00
9 -4.186e-03 1.711e-02 4.777e-03 0.000e+00
10 7.399e-03 1.212e-02 -2.458e-02 0.000e+00
11 4.883e-03 -1.527e-02 -1.094e-02 0.000e+00
12 -7.151e-04 -1.247e-02 -8.779e-03 0.000e+00
13 -2.233e-02 -1.507e-02 -9.021e-03 0.000e+00
14 -5.711e-03 1.879e-02 -1.917e-02 0.000e+00
15 -9.086e-03 3.538e-02 4.140e-03 1.147e+02
16 1.644e-02 -1.463e-02 5.608e-03 0.000e+00
17 2.917e-03 -3.627e-03 2.429e-02 0.000e+00
18 1.673e-03 -1.714e-02 1.133e-02 0.000e+00
19 1.487e-02 1.234e-02 -1.545e-03 0.000e+00
20 -9.335e-03 9.526e-03 7.391e-03 0.000e+00
21 1.841e-02 2.506e-02 5.230e-03 -4.378e+01
22 1.156e-02 -8.876e-03 1.254e-03 0.000e+00
23 -6.769e-03 -1.648e-02 2.455e-02 0.000e+00
24 7.798e-03 5.894e-04 1.992e-02 0.000e+00
25 5.410e-02 -1.593e-02 -3.486e-02 0.000e+00
26 4.136e-02 1.853e-02 8.798e-04 0.000e+00
27 7.035e-03 -9.500e-03 -7.091e-03 0.000e+00
28 7.971e-03 2.987e-02 -1.036e-02 2.640e+01
29 -7.375e-03 -1.913e-02 1.145e-03 0.000e+00
30 2.922e-02 7.667e-03 4.083e-03 0.000e+00
31 9.727e-03 1.500e-02 -7.236e-03 0.000e+00
32 2.533e-02 -1.947e-02 1.242e-02 0.000e+00
33 -1.820e-02 -1.652e-02 1.517e-02 0.000e+00
34 -9.580e-03 -8.736e-03 1.070e-02 0.000e+00
35 3.225e-02 -1.804e-02 2.613e-03 0.000e+00
36 5.950e-02 -1.311e-02 -2.568e-02 0.000e+00
37 3.005e-02 1.925e-02 1.835e-02 0.000e+00
38 7.108e-02 -1.883e-02 -1.088e-02 0.000e+00
39 6.229e-02 2.416e-02 -5.679e-03 3.526e+01
40 3.335e-02 1.325e-02 -8.827e-03 0.000e+00
41 6.838e-02 5.535e-03 -3.168e-02 0.000e+00
42 5.130e-02 1.393e-02 2.353e-02 0.000e+00
43 7.984e-02 5.099e-02 1.761e-02 9.710e+00
44 7.050e-02 4.005e-02 5.849e-03 1.134e+01
45 1.379e-01 1.975e-02 -1.025e-02 0.000e+00
46 1.026e-01 8.887e-02 -4.838e-03 7.144e+00
47 1.188e-01 7.752e-02 -1.020e-02 2.611e-01
48 1.133e-01 7.268e-02 -1.307e-02 -7.624e+00
49 1.030e-01 6.969e-02 -1.616e-02 -8.696e+00
50 1.139e-01 4.260e-02 -9.813e-03 -1.980e+01
51 1.212e-01 5.879e-02 7.301e-03 -9.914e+00
52 8.543e-02 3.317e-02 2.692e-02 -2.169e+01
53 5.973e-02 -1.785e-02 8.178e-03 0.000e+00
54 4.099e-02 1.603e-02 1.197e-02 0.000e+00
55 2.432e-02 -1.956e-02 2.737e-03 0.000e+00
56 4.394e-02 1.764e-02 2.201e-02 0.000e+00
57 1.451e-02 1.433e-02 6.716e-03 0.000e+00
58 1.633e-03 -1.284e-02 -4.396e-03 0.000e+00
59 1.354e-02 9.317e-03 1.516e-02 0.000e+00
60 7.342e-04 -1.081e-02 7.443e-04 0.000e+00
61 -3.566e-03 1.052e-02 2.074e-02 0.000e+00
62 1.367e-04 -1.673e-02 9.403e-03 0.000e+00
63 5.130e-03 -1.415e-02 2.977e-03 0.000e+00
64 -2.046e-02 1.212e-02 -1.603e-02 0.000e+00
65 4.274e-03 -1.642e-02 2.993e-02 0.000e+00
66 1.501e-02 9.965e-03 -1.563e-02 0.000e+00
67 1.022e-02 2.215e-02 5.223e-03 0.000e+00
68 1.970e-02 9.336e-03 2.025e-02 0.000e+00
69 -5.429e-03 1.032e-03 -4.778e-03 0.000e+00
70 -1.450e-02 1.407e-03 -1.404e-02 0.000e+00
71 2.385e-02 -1.933e-02 2.041e-02 0.000e+00
72 6.490e-03 8.518e-03 8.524e-03 0.000e+00
73 1.495e-04 1.201e-02 -4.985e-03 0.000e+00
74 5.876e-03 -1.206e-02 5.771e-03 0.000e+00
75 -1.653e-03 7.666e-03 1.275e-02 0.000e+00
76 6.237e-03 3.744e-02 -1.982e-04 5.839e+01
77 1.869e-02 3.060e-03 -7.826e-03 0.000e+00
78 -1.519e-02 7.245e-03 -5.824e-03 0.000e+00
79 5.093e-02 1.536e-02 1.319e-02 0.000e+00
80 7.220e-03 1.863e-02 -9.229e-03 0.000e+00
81 -2.798e-03 -2.047e-03 1.936e-02 0.000e+00
82 -6.023e-03 2.048e-03 1.449e-02 0.000e+00
83 1.837e-02 -1.364e-02 -5.195e-03 0.000e+00
84 3.502e-02 2.919e-03 -5.611e-03 0.000e+00
85 -4.031e-03 2.821e-02 2.268e-02 6.304e+01
86 4.659e-02 -1.259e-02 -1.291e-02 0.000e+00
87 5.380e-02 1.064e-02 8.776e-03 0.000e+00
88 4.609e-02 6.652e-03 -2.640e-02 0.000e+00
89 4.129e-02 2.753e-02 -6.831e-03 6.562e+01
90 6.048e-02 -2.515e-03 9.561e-03 0.000e+00
91 7.378e-02 8.600e-03 -1.060e-05 0.000e+00
92 4.956e-02 3.967e-02 5.291e-03 6.137e+01
93 9.802e-02 4.315e-02 1.055e-02 5.017e+01
94 7.547e-02 2.158e-02 1.523e-02 0.000e+00
95 1.148e-01 6.257e-02 -8.420e-03 6.867e+01
96 1.267e-01 6.706e-02 -1.584e-02 6.216e+01
97 1.348e-01 6.442e-02 -1.137e-02 8.088e+01
98 1.342e-01 6.628e-02 2.016e-02 7.578e+01
99 2.026e-01 4.448e-02 -1.393e-02 7.525e+01
100 2.048e-01 4.120e-02 -1.176e-02 1.010e+02
101 2.147e-01 3.099e-02 -5.800e-03 1.329e+02
102 2.159e-01 9.379e-02 -2.196e-02 1.158e+02
103 2.590e-01 7.170e-02 -4.967e-03 1.263e+02
104 2.244e-01 6.297e-02 1.161e-02 1.243e+02
