Bin I L V PA
0 -3.814e-03 8.111e-04 -4.396e-04 0.000e+00
1 1.371e-03 4.485e-04 9.886e-05 0.000e+00
2 2.360e-03 5.619e-03 -3.495e-03 5.352e+01
3 8.833e-04 -4.177e-03 -1.974e-03 0.000e+00
4 1.755e-03 4.094e-03 -1.077e-03 0.000e+00
5 4.560e-03 2.854e-03 1.753e-03 0.000e+00
6 -3.250e-04 1.989e-03 -2.074e-03 0.000e+00
7 -6.379e-03 4.239e-04 2.196e-03 0.000e+00
8 -7.736e-04 -3.553e-03 -6.089e-03 0.000e+00
9 2.292e-03 -5.066e-03 -3.825e-03 0.000e+00
10 6.613e-03 9.749e-04 -3.950e-03 0.000e+00
11 5.960e-03 -4.568e-03 -3.054e-03 0.000e+00
12 3.613e-03 1.605e-03 -2.884e-03 0.000e+00
13 3.227e-03 2.395e-04 -1.866e-04 0.000e+00
14 2.591e-03 1.738e-03 1.147e-03 0.000e+00
15 -1.386e-03 2.413e-03 9.911e-04 0.000e+00
16 -3.440e-03 6.056e-03 -4.006e-04 -3.207e+01
17 -2.712e-04 -4.517e-03 -2.649e-03 0.000e+00
18 3.225e-03 1.080e-03 -4.125e-03 0.000e+00
19 4.368e-03 6.787e-03 -5.532e-03 4.476e+01
20 5.492e-05 6.094e-03 -5.926e-04 1.748e+01
21 -3.798e-03 -4.562e-03 3.179e-03 0.000e+00
22 -9.232e-05 5.447e-03 -8.209e-04 -9.872e+01
23 2.430e-03 -5.441e-04 -1.764e-03 0.000e+00
24 -7.242e-04 -5.010e-03 -2.097e-03 0.000e+00
25 -7.693e-04 -3.220e-03 -1.585e-03 0.000e+00
26 4.441e-03 -4.327e-03 1.088e-03 0.000e+00
27 -1.863e-03 -2.713e-03 -1.071e-03 0.000e+00
28 -2.150e-03 -8.135e-05 2.252e-03 0.000e+00
29 -1.363e-04 -4.947e-04 -1.762e-03 0.000e+00
30 -2.023e-03 -4.847e-03 -5.703e-04 0.000e+00
31 2.781e-03 -4.148e-03 3.422e-03 0.000e+00
32 -1.818e-03 1.118e-03 2.952e-03 0.000e+00
33 -6.019e-04 1.982e-04 6.048e-04 0.000e+00
34 -1.886e-03 3.935e-03 -5.226e-03 0.000e+00
35 -3.905e-03 -4.824e-03 -1.570e-03 0.000e+00
36 4.811e-03 -1.563e-03 5.098e-04 0.000e+00
37 -1.387e-03 -4.215e-03 3.861e-03 0.000e+00
38 3.418e-03 1.997e-03 -1.163e-02 0.000e+00
39 -1.562e-03 1.446e-05 2.052e-03 0.000e+00
40 3.229e-03 -3.266e-03 -4.747e-05 0.000e+00
41 9.370e-04 -2.372e-03 1.793e-03 0.000e+00
42 4.098e-03 8.811e-04 -1.615e-04 0.000e+00
43 -5.094e-03 1.349e-03 -6.162e-03 0.000e+00
44 1.144e-04 3.055e-03 3.763e-03 0.000e+00
45 1.002e-03 3.783e-03 -6.899e-04 0.000e+00
46 -3.839e-04 3.755e-03 2.049e-04 0.000e+00
47 -4.031e-03 -4.526e-03 -1.995e-03 0.000e+00
48 -1.194e-03 6.375e-04 3.102e-04 0.000e+00
49 1.915e-03 -4.798e-03 9.144e-04 0.000e+00
50 -1.020e-03 4.354e-03 -1.959e-03 0.000e+00
51 -1.739e-03 -5.034e-03 -9.988e-04 0.000e+00
52 2.083e-03 1.739e-03 1.158e-03 0.000e+00
53 5.101e-04 2.478e-03 2.694e-04 0.000e+00
54 -2.616e-03 1.456e-03 4.149e-03 0.000e+00
55 -2.597e-03 3.659e-03 -1.127e-03 0.000e+00
56 1.835e-03 -4.865e-03 -1.547e-03 0.000e+00
57 -5.640e-04 2.504e-03 4.905e-03 0.000e+00
58 -1.683e-04 2.172e-03 -9.213e-04 0.000e+00
59 7.722e-04 2.517e-03 5.358e-05 0.000e+00
60 3.224e-03 -5.178e-04 -4.381e-03 0.000e+00
61 -3.349e-03 -3.756e-03 5.849e-03 0.000e+00
62 1.557e-03 -4.867e-03 3.478e-03 0.000e+00
63 -1.955e-03 -4.166e-03 5.038e-03 0.000e+00
64 9.178e-04 -3.004e-03 -1.905e-03 0.000e+00
