Bin I L V PA
0 -2.329e-02 4.027e-02 -1.060e-02 0.000e+00
1 6.291e-02 -2.739e-02 7.335e-04 0.000e+00
2 1.258e-02 -4.163e-02 1.440e-02 0.000e+00
3 -4.153e-03 -1.198e-03 -1.373e-02 0.000e+00
4 -6.772e-02 4.289e-02 -1.404e-02 0.000e+00
5 -2.818e-02 -5.358e-02 2.950e-02 0.000e+00
6 -1.980e-02 1.999e-02 -5.507e-02 0.000e+00
7 -4.258e-02 2.946e-02 3.817e-02 0.000e+00
8 -3.484e-02 2.573e-02 -3.867e-02 0.000e+00
9 5.002e-02 2.604e-02 5.738e-02 0.000e+00
10 -4.268e-02 1.249e-03 5.893e-02 0.000e+00
11 4.153e-03 -6.004e-02 -2.197e-02 0.000e+00
12 3.832e-02 4.366e-02 2.183e-02 0.000e+00
13 -1.179e-01 -6.376e-02 7.051e-02 0.000e+00
14 4.771e-03 -3.068e-02 -4.265e-02 0.000e+00
15 6.080e-02 8.285e-02 4.098e-03 9.350e+00
16 1.452e-02 1.198e-03 -9.983e-02 0.000e+00
17 4.674e-02 2.510e-02 -3.157e-02 0.000e+00
18 -5.385e-02 1.142e-02 -1.320e-02 0.000e+00
19 -8.933e-02 5.914e-02 -3.041e-02 0.000e+00
20 2.021e-02 6.085e-02 -1.373e-03 0.000e+00
21 3.247e-02 5.168e-02 7.325e-03 0.000e+00
22 1.932e-01 1.382e-01 -1.610e-02 -3.165e+01
23 5.919e-01 2.214e-01 2.107e-02 -3.488e+01
24 1.000e+00 1.899e-01 1.077e-02 -2.954e+01
25 8.375e-01 2.116e-02 -8.885e-02 0.000e+00
26 4.639e-01 -5.968e-02 1.244e-02 0.000e+00
27 2.411e-01 6.137e-02 -8.688e-02 0.000e+00
28 8.154e-02 -4.984e-02 -2.500e-02 0.000e+00
29 4.033e-02 -6.379e-02 -4.867e-02 0.000e+00
30 2.347e-02 3.955e-03 -5.757e-02 0.000e+00
31 -3.000e-02 -4.791e-02 -7.864e-02 0.000e+00
32 -5.688e-03 -6.341e-02 -4.940e-02 0.000e+00
33 2.591e-02 -5.488e-02 -2.565e-02 0.000e+00
34 -1.475e-02 -5.689e-02 -6.474e-02 0.000e+00
35 -7.632e-02 -6.405e-02 -2.368e-02 0.000e+00
36 -6.234e-02 -5.690e-02 -8.315e-02 0.000e+00
37 -2.122e-02 -4.169e-02 -4.811e-02 0.000e+00
38 -5.909e-02 4.805e-02 -4.943e-02 0.000e+00
39 -1.556e-02 -5.386e-02 3.266e-02 0.000e+00
40 -5.134e-02 4.318e-02 4.148e-02 0.000e+00
41 2.091e-01 8.825e-02 2.629e-02 5.777e+00
42 5.496e-01 6.571e-01 1.926e-02 9.951e-01
43 5.151e-01 4.849e-01 9.835e-02 6.322e+00
44 1.688e-01 1.145e-01 4.636e-02 2.165e+00
45 -1.805e-02 -4.871e-02 7.245e-03 0.000e+00
46 2.748e-02 1.859e-02 9.551e-02 0.000e+00
47 -9.437e-02 2.077e-03 3.528e-02 0.000e+00
48 1.597e-02 5.168e-02 8.269e-02 0.000e+00
49 -2.524e-02 -5.500e-02 1.720e-02 0.000e+00
50 -2.035e-02 1.759e-02 -3.446e-02 0.000e+00
51 -3.990e-02 1.140e-02 2.189e-02 0.000e+00
52 6.467e-03 -4.580e-02 7.865e-02 0.000e+00
53 4.282e-02 -3.253e-02 -7.335e-04 0.000e+00
54 2.539e-02 -4.994e-02 5.377e-02 0.000e+00
55 8.004e-02 -5.030e-02 4.651e-02 0.000e+00
56 2.319e-02 1.664e-02 3.381e-02 0.000e+00
57 6.446e-03 -5.737e-02 -5.470e-02 0.000e+00
58 -8.909e-02 -4.558e-02 -3.032e-02 0.000e+00
59 4.611e-02 -3.128e-02 -4.732e-02 0.000e+00
60 -6.329e-02 -5.524e-02 2.532e-02 0.000e+00
61 -3.072e-02 1.580e-02 -4.786e-03 0.000e+00
62 -9.884e-02 1.731e-02 -6.114e-03 0.000e+00
63 3.318e-02 1.059e-02 -4.489e-02 0.000e+00
