Bin I L V PA
0 1.788e-02 3.075e-02 5.150e-03 2.916e+01
1 1.335e-02 2.056e-02 1.449e-02 0.000e+00
2 -3.273e-02 1.672e-02 -8.707e-03 0.000e+00
3 1.976e-02 2.617e-02 -1.739e-02 0.000e+00
4 -3.819e-03 1.324e-02 9.097e-03 0.000e+00
5 0.000e+00 -3.309e-02 -1.519e-02 0.000e+00
6 -1.210e-02 -1.153e-02 3.108e-02 0.000e+00
7 1.102e-02 -2.367e-02 -2.402e-02 0.000e+00
8 -7.683e-03 3.594e-03 1.056e-02 0.000e+00
9 2.182e-02 2.562e-02 -8.799e-03 0.000e+00
10 3.693e-02 -1.155e-04 -1.411e-02 0.000e+00
11 -4.263e-03 -7.296e-03 -3.926e-02 0.000e+00
12 4.350e-03 -2.961e-02 2.491e-02 0.000e+00
13 -6.899e-04 1.864e-02 2.757e-02 0.000e+00
14 2.767e-02 -9.263e-03 1.870e-02 0.000e+00
15 1.531e-02 5.222e-02 -8.853e-04 5.094e+01
16 4.766e-02 7.753e-03 3.141e-02 0.000e+00
17 5.110e-02 -8.147e-03 5.444e-02 0.000e+00
18 2.577e-02 -3.162e-02 -6.998e-03 0.000e+00
19 1.547e-02 1.159e-02 -3.315e-02 0.000e+00
20 4.833e-02 -3.220e-02 -2.713e-03 0.000e+00
21 3.448e-02 1.331e-02 -5.530e-03 0.000e+00
22 -2.527e-02 1.052e-02 -1.614e-02 0.000e+00
23 4.363e-02 1.699e-02 8.043e-03 0.000e+00
24 1.242e-02 2.401e-02 5.387e-04 0.000e+00
25 5.426e-03 1.932e-02 1.590e-05 0.000e+00
26 5.979e-02 2.190e-02 -2.192e-02 0.000e+00
27 6.314e-02 3.217e-02 2.462e-03 7.776e+01
28 3.242e-02 2.731e-02 -2.592e-02 0.000e+00
29 4.210e-02 -3.912e-03 9.454e-03 0.000e+00
30 2.575e-02 9.126e-03 1.270e-03 0.000e+00
31 3.059e-02 3.661e-03 1.385e-02 0.000e+00
32 3.296e-02 -2.339e-03 1.128e-02 0.000e+00
33 5.235e-02 -5.545e-05 3.124e-03 0.000e+00
34 1.848e-02 -3.449e-02 1.031e-02 0.000e+00
35 3.717e-02 1.182e-03 1.820e-02 0.000e+00
36 4.018e-02 -5.952e-03 7.541e-04 0.000e+00
37 5.094e-02 1.352e-02 1.535e-03 0.000e+00
38 6.116e-02 3.458e-02 -1.312e-03 6.565e+01
39 3.786e-02 -5.018e-04 -3.198e-02 0.000e+00
40 5.720e-02 2.867e-02 -1.540e-02 3.708e+01
41 2.583e-02 5.191e-02 -1.728e-02 7.228e+01
42 3.728e-02 -2.832e-02 -9.638e-03 0.000e+00
43 4.355e-02 2.979e-02 -1.264e-02 8.330e+01
44 3.576e-02 3.291e-03 -8.988e-03 0.000e+00
45 7.938e-02 -1.251e-02 -2.470e-02 0.000e+00
46 5.748e-02 -3.305e-02 -1.690e-02 0.000e+00
47 5.782e-02 3.058e-02 9.231e-03 6.533e+01
48 6.304e-02 -3.079e-02 -1.247e-03 0.000e+00
49 8.170e-02 -5.748e-03 -1.718e-02 0.000e+00
50 7.096e-02 -3.258e-02 5.000e-03 0.000e+00
51 9.179e-02 1.798e-02 -8.609e-04 0.000e+00
52 6.957e-02 -2.292e-02 -4.590e-02 0.000e+00
53 4.673e-02 2.656e-02 4.742e-03 0.000e+00
54 9.615e-02 2.384e-02 -8.952e-03 0.000e+00
55 9.824e-02 9.137e-03 1.170e-02 0.000e+00
56 7.158e-02 1.716e-02 1.671e-02 0.000e+00
57 1.075e-01 -3.382e-02 6.829e-03 0.000e+00
58 1.128e-01 -3.227e-02 2.000e-02 0.000e+00
59 1.038e-01 3.371e-02 -1.147e-02 9.142e+01
60 9.900e-02 3.563e-02 -1.254e-02 8.231e+01
61 1.249e-01 -2.366e-03 -4.216e-02 0.000e+00
62 1.328e-01 2.224e-02 -1.889e-02 0.000e+00
63 1.337e-01 2.660e-02 -8.384e-04 0.000e+00
64 1.398e-01 -6.523e-03 -2.785e-02 0.000e+00
65 8.911e-02 -4.434e-03 -4.115e-02 0.000e+00
66 1.176e-01 3.419e-02 -1.968e-02 1.625e+01
67 1.455e-01 -4.040e-03 -8.284e-03 0.000e+00
68 1.350e-01 -4.924e-03 -6.074e-03 0.000e+00
69 1.299e-01 1.312e-02 2.167e-03 0.000e+00
70 1.327e-01 2.329e-02 -1.850e-02 0.000e+00
71 1.614e-01 -3.205e-02 -2.113e-02 0.000e+00
72 1.756e-01 3.041e-02 -1.428e-02 -4.187e+01
73 1.863e-01 1.784e-02 -3.676e-02 0.000e+00
74 1.932e-01 1.778e-02 -2.630e-03 0.000e+00
75 1.571e-01 2.813e-02 -6.529e-03 -3.526e+01
76 2.072e-01 1.528e-02 2.864e-03 0.000e+00
77 2.265e-01 1.793e-02 -3.508e-02 0.000e+00
78 2.555e-01 3.884e-02 -1.547e-02 1.336e+02
79 2.557e-01 5.361e-02 -5.377e-02 -3.313e+01
80 2.721e-01 1.543e-02 -2.050e-02 0.000e+00
81 2.580e-01 3.631e-03 -7.799e-04 0.000e+00
82 3.159e-01 2.624e-02 -9.065e-03 0.000e+00
83 3.879e-01 3.778e-03 -2.448e-02 0.000e+00
84 3.979e-01 4.439e-02 1.578e-03 3.243e+01
85 4.078e-01 7.483e-02 -3.048e-03 3.752e+01
86 4.741e-01 6.886e-03 -1.262e-02 0.000e+00
87 5.166e-01 1.097e-01 2.894e-02 3.845e+01
88 5.923e-01 1.355e-01 1.893e-03 3.819e+01
