Bin I L V PA
0 -8.250e-03 -1.651e-02 2.253e-02 0.000e+00
1 -6.396e-03 1.386e-02 1.399e-02 0.000e+00
2 4.662e-04 4.828e-03 1.107e-02 0.000e+00
3 6.834e-03 4.896e-03 4.205e-04 0.000e+00
4 6.071e-03 4.430e-03 -8.933e-03 0.000e+00
5 -8.820e-03 1.046e-02 -1.465e-02 0.000e+00
6 7.144e-03 -1.760e-03 2.866e-03 0.000e+00
7 -8.303e-04 4.762e-03 5.527e-03 0.000e+00
8 1.219e-02 -1.584e-02 -2.161e-02 0.000e+00
9 8.044e-03 2.573e-03 1.312e-02 0.000e+00
10 -6.615e-03 -5.397e-05 -2.479e-03 0.000e+00
11 -2.121e-03 -1.223e-02 5.426e-03 0.000e+00
12 7.500e-03 1.005e-02 9.968e-03 0.000e+00
13 -2.871e-03 1.904e-03 -2.168e-03 0.000e+00
14 -1.181e-02 2.870e-03 -2.892e-03 0.000e+00
15 -7.402e-03 8.310e-03 -7.994e-03 0.000e+00
16 6.447e-03 -1.224e-02 2.378e-03 0.000e+00
17 -1.036e-02 4.367e-03 2.722e-02 0.000e+00
18 8.503e-03 4.912e-03 1.500e-03 0.000e+00
19 -7.954e-04 -1.429e-04 -1.541e-02 0.000e+00
20 -6.601e-03 3.438e-03 1.141e-02 0.000e+00
21 1.889e-02 -1.446e-02 8.203e-03 0.000e+00
22 7.625e-03 -1.633e-02 2.931e-03 0.000e+00
23 -1.179e-02 -1.492e-02 -3.127e-04 0.000e+00
24 -6.349e-03 -1.639e-02 7.607e-03 0.000e+00
25 -9.981e-03 -1.023e-02 -7.422e-03 0.000e+00
26 2.824e-04 4.840e-03 -5.761e-03 0.000e+00
27 -9.551e-03 -1.342e-02 -2.099e-03 0.000e+00
28 -6.578e-03 1.412e-02 -3.948e-03 0.000e+00
29 1.197e-02 5.777e-03 -6.832e-03 0.000e+00
30 -1.104e-03 -1.415e-02 4.563e-03 0.000e+00
31 -5.490e-03 3.964e-04 -6.922e-03 0.000e+00
32 8.310e-03 -1.180e-02 7.290e-03 0.000e+00
33 0.000e+00 -4.759e-04 1.272e-02 0.000e+00
34 5.140e-03 2.662e-03 8.771e-03 0.000e+00
35 -1.437e-02 -9.963e-03 9.346e-03 0.000e+00
36 -7.509e-03 7.210e-03 1.012e-03 0.000e+00
37 8.480e-03 -1.100e-02 5.684e-03 0.000e+00
38 -1.398e-02 1.448e-03 -6.562e-03 0.000e+00
39 3.617e-03 1.719e-02 -2.628e-03 -8.386e+01
40 2.028e-03 1.063e-02 -1.859e-02 0.000e+00
41 -1.177e-02 7.846e-03 9.837e-04 0.000e+00
42 -1.915e-03 -1.446e-02 -1.004e-02 0.000e+00
43 2.481e-02 1.012e-02 -2.328e-03 0.000e+00
44 1.210e-02 3.238e-03 8.337e-03 0.000e+00
45 -4.386e-03 3.198e-04 3.813e-03 0.000e+00
46 -4.201e-03 -2.904e-03 -1.013e-02 0.000e+00
47 -1.347e-02 -4.737e-04 2.100e-02 0.000e+00
48 1.346e-02 -1.016e-02 -1.237e-02 0.000e+00
49 1.204e-02 4.974e-03 -4.921e-03 0.000e+00
50 1.076e-02 -1.028e-02 0.000e+00 0.000e+00
51 5.741e-03 1.634e-03 -7.761e-03 0.000e+00
